metric,value,unit,source
aa_valid_rows,56000.0,rows,FULL_V5_anchor_lower_trim/tables/l1_inter_anchor_distribution.csv
aa_frames_per_pair_median,2000.0,frames,FULL_V5_anchor_lower_trim/tables/l1_inter_anchor_distribution.csv
aa_mean_skewness,0.06330619645221293,skewness,FULL_V5_anchor_lower_trim/tables/l1_inter_anchor_distribution.csv
aa_mean_p50_minus_lower_trim20,32.87848214285715,mm,FULL_V5_anchor_lower_trim/tables/l1_inter_anchor_distribution.csv
best_lower_trim20_anchor_loo,46.37515150050423,mm,FULL_V5_anchor_lower_trim/tables/l3_master_comparison.csv
best_p50_e_zero_loo,43.17167990138442,mm,FULL_V5_anchor_lower_trim/tables/l3_master_comparison.csv
control_current_v5_p50_loo,44.48515490444803,mm,FULL_V5_anchor_lower_trim/tables/l3_master_comparison.csv
p_new_wins,0.6592,probability,FULL_V5_anchor_lower_trim/tables/l5_bootstrap_summary.csv
improvement_ci_low,-3.6499739553660646,mm,FULL_V5_anchor_lower_trim/tables/l5_bootstrap_summary.csv
improvement_ci_high,3.99654224030148,mm,FULL_V5_anchor_lower_trim/tables/l5_bootstrap_summary.csv
