Row,Variant,Description,median_3d,P95,RMSE,evaluation_type,paper_location,source_csv
A,V4 production,"p50, uniform, D=0",71.87489868113639,175.9963096185349,110.3731093480212,"in-sample, all 24",main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv
B,V4 + D_LOO,"p50, uniform, D_LOO",57.92095709409735,110.58455035871611,74.37189349158585,LOO-CV,main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_transfer_matrix/tables/transfer_matrix_48cells.csv
C,V5 baseline,"p50, uniform, D_LOO=49.6",67.80925857328509,160.50864196755103,86.39989161399005,LOO-CV,main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv
D,V5 apparent best,"p30, invRMS, D_recal=33.0",56.01127291158505,143.12004226914806,79.48190537495643,in-sample post-selected,main_text_with_caveat,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv
E,V4 apparent best,"p30, invRMS, D_recal=18.2",54.918375844369336,154.78379958349888,79.58617506422262,in-sample post-selected,main_text_with_caveat,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv
F,V5 corrected,winner's curse adjustment,65.57914964020227,nan,nan,OOB-bootstrap,main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv
G,V4 corrected,winner's curse adjustment,64.48614964020227,nan,nan,OOB-bootstrap,main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f2_optimism_summary.csv
H,V5 bootstrap CI,"95% CI [54.3, 63.7]",nan,nan,nan,bootstrap 95% CI,main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_overnight_batch2/tables/n6_bootstrap_ci.csv
I,Nested CV (height),best variant selected on train,82.9248283137559,nan,nan,held-out test,appendix,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv
J,Nested CV (quadrant),best variant selected on train,88.04166953831984,nan,nan,held-out test,appendix,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv
K,Nested CV (spatial6),best variant selected on train,94.24971154923936,nan,nan,held-out test,appendix,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_batch3_falsification/tables/f1_nested_cv_summary.csv
L,ROTO V5 per-frame,anchor-bridge best-fit,101.48477739653228,214.3693133943896,126.22614768446928,BEST-FIT-ALIGNED,main_text,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv
M,ROTO SE(3) aligned,per-capture SE(3),82.51641444727665,185.20662628073396,103.74573775790896,diagnostic,appendix,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv
N,ROTO Sim3 aligned,"per-capture Sim3, scale 0.906",74.26356175882631,160.79304407937283,94.81105197947248,diagnostic only,appendix,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_roto_deepdive/tables/r2_alignment_summary.csv
