config,model,n_params,cv_median_3d_mm,cv_rmse_3d_mm,cv_p95_3d_mm,cv_range_residual_rmse_mm,notes
V5_CV5,M0,0,109.51538194751711,140.52524928793758,223.8592378045847,127.51912173103854,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
V5_CV5,M1,1,68.51899488616971,83.49024365598703,156.30530208718898,107.64267312790153,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
V5_CV5,M2,8,54.797181078046506,80.99660555988005,120.42770809333332,106.8486787506711,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
V5_CV5,M3,2,77.71607332424861,89.11940242311933,134.47966506322618,99.89505767093797,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
V5_CV5,M4,3,76.21293505919564,87.17866692753128,144.74482957790198,100.30162831549853,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
Vicon_Ccm,M0,0,102.33643160700082,136.39850304992768,213.92397656244125,125.85463954827223,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
Vicon_Ccm,M1,1,63.282972148069945,82.41867994846511,159.64585507175386,106.16149546117038,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
Vicon_Ccm,M2,8,64.71209811567233,82.46823535255763,125.74228898743596,106.03764973789889,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
Vicon_Ccm,M3,2,76.93428008048556,90.44848203878797,144.56455831959025,99.21585323625571,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
Vicon_Ccm,M4,3,69.9356312813433,85.72013104742828,148.67880145566383,99.43463536756128,M3/M4 are diagnostic because held-out truth geometry supplies elevation-dependent per-anchor correction.
