capture_id,tag,method,median_3d,rmse,p95,n_frames
R01,BS2DCE,joint_fixed_49p621,123.80506116934083,141.4183408319665,219.29914548031465,1184
R01,BSDC91,joint_fixed_49p621,88.75793844366869,115.9048117477708,199.74901432133413,1184
R02,BS2DCE,joint_fixed_49p621,146.8223373728282,167.0916650900747,260.12555536950003,1184
R02,BSDC91,joint_fixed_49p621,137.9677255724244,150.74715527691893,241.46305329943954,1184
R03,BS2DCE,joint_fixed_49p621,132.5521673557095,142.9008341141046,217.6603816181289,1032
R03,BSDC91,joint_fixed_49p621,98.63372617080086,114.67421925678774,190.77078149445236,1032
R04,BS2DCE,joint_fixed_49p621,94.97539912112484,123.6495921511164,216.33073308918264,1178
R04,BSDC91,joint_fixed_49p621,72.46993282877918,91.26086775879827,160.41257006516236,1178
R05,BS2DCE,joint_fixed_49p621,421.5714597873768,439.5217550293005,608.0351510152364,1197
R05,BSDC91,joint_fixed_49p621,419.37208025187033,425.12698362344844,500.8959243378982,1197
R06,BS2DCE,joint_fixed_49p621,424.21388453255497,432.08404352750085,530.1221595822117,1046
R06,BSDC91,joint_fixed_49p621,432.9846749780858,434.43974288795823,516.6168430837088,1046
R07,BS2DCE,joint_fixed_49p621,143.87720568047652,165.40437436939612,274.05215143448413,868
R07,BSDC91,joint_fixed_49p621,109.89262275261163,139.62073117595918,243.6619848504119,868
R08,BS2DCE,joint_fixed_49p621,180.98483978332658,220.5864061645487,365.5176635414692,866
R08,BSDC91,joint_fixed_49p621,165.75768638179667,207.75862592641735,361.1324825719705,866
R09,BS2DCE,joint_fixed_49p621,416.16062026120306,428.9395236660279,606.6449978799512,847
R09,BSDC91,joint_fixed_49p621,437.99216722811326,445.2701889610961,572.5459497816212,847
R10,BS2DCE,joint_fixed_49p621,144.7194503417104,163.40329384985765,267.0708594670838,864
R10,BSDC91,joint_fixed_49p621,106.18696400942413,128.3546296580537,231.31670586333414,864
R11,BS2DCE,joint_fixed_49p621,391.3708202708441,409.36698033321574,551.5313114339531,882
R11,BSDC91,joint_fixed_49p621,409.8987890959585,411.10123859061434,504.8033247083417,882
