config,layout_source,correction_source,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope_mm_per_m
L_V4+C_V4,L_V4,C_V4,0.0,72.68777814128809,109.84334268175988,171.49830647240591,129.3271311540153
L_V4+C_V4,L_V4,C_V4,2.0,71.52948627887287,107.49498751761026,167.06881227377286,124.8065201225222
L_V4+C_V4,L_V4,C_V4,4.0,70.44027785320517,105.19804885874473,162.7308149765455,120.3291590790417
L_V4+C_V4,L_V4,C_V4,6.0,70.08733323054994,102.95877176392584,158.50513004694403,115.90045417904446
L_V4+C_V4,L_V4,C_V4,8.0,70.5588726599388,100.77958426606008,154.3823694062567,111.51750125137411
L_V4+C_V4,L_V4,C_V4,10.0,71.02211893434433,98.66198700575318,150.50703295236747,107.18086143060198
L_V4+C_V4,L_V4,C_V4,12.0,71.47752772066772,96.60915649299244,147.78758419990046,102.89294376533525
L_V4+C_V4,L_V4,C_V4,14.0,71.92715906517535,94.62878373449834,145.13549259775303,98.65756182958631
L_V4+C_V4,L_V4,C_V4,16.0,71.47211268275284,92.72566374393138,142.5464831159739,94.47368488007028
L_V4+C_V4,L_V4,C_V4,18.0,70.01960043958556,90.90556487496517,140.03120767952893,90.34432433845136
L_V4+C_V4,L_V4,C_V4,20.0,68.61282496547003,89.16822490461907,137.57777132849728,86.2675563680303
L_V4+C_V4,L_V4,C_V4,22.0,67.25843122692933,87.51597212005046,135.18187055198848,82.24432433671865
L_V4+C_V4,L_V4,C_V4,24.0,66.62367967640908,85.95359270931299,132.8577373654374,78.27765069158805
L_V4+C_V4,L_V4,C_V4,26.0,66.75305920882771,84.4823565310698,130.60364000729936,74.36481615712506
L_V4+C_V4,L_V4,C_V4,28.0,67.01521535185626,83.10201016281671,128.40865216799173,70.50262456398107
L_V4+C_V4,L_V4,C_V4,30.0,66.07825383728138,81.81552914839253,126.28255958665451,66.69088381082055
L_V4+C_V4,L_V4,C_V4,32.0,64.6417511616848,80.62703414959898,124.22105681742424,62.93246794900264
L_V4+C_V4,L_V4,C_V4,34.0,63.31425912179856,79.53882709118311,122.33616933110852,59.229150624650586
L_V4+C_V4,L_V4,C_V4,36.0,64.0394807158211,78.5496368888089,120.6486964409156,55.57759475198739
L_V4+C_V4,L_V4,C_V4,38.0,63.25669894506075,77.65829585147783,119.02646356312698,51.97898684001829
L_V4+C_V4,L_V4,C_V4,40.0,61.058333321564845,76.86141345694736,117.45673244083228,48.42555567933808
L_V4+C_V4,L_V4,C_V4,42.0,59.27434874776552,76.16103134607378,115.9311958267718,44.91873964474342
L_V4+C_V4,L_V4,C_V4,44.0,58.57377009698428,75.55612446111326,114.45239487802418,41.45796996791418
L_V4+C_V4,L_V4,C_V4,46.0,58.47329228172256,75.04858983302233,113.0301954600986,38.04003439998476
L_V4+C_V4,L_V4,C_V4,48.0,58.07895938682272,74.63554359995196,111.65683608984264,34.662478619411786
L_V4+C_V4,L_V4,C_V4,50.0,57.95050891604628,74.31920724321373,110.33787583645976,31.3237190556472
L_V4+C_V4,L_V4,C_V4,52.0,57.9727660415911,74.09626093304274,109.45248083355509,28.02163908906028
L_V4+C_V4,L_V4,C_V4,54.0,58.121329646759776,73.96658720229637,109.3582216972056,24.752474782728363
L_V4+C_V4,L_V4,C_V4,56.0,58.40565425411623,73.9285809783891,109.3280963889342,21.51414687401471
L_V4+C_V4,L_V4,C_V4,58.0,58.83243971132334,73.97777840608781,109.68037189838032,18.30629122985301
L_V4+C_V4,L_V4,C_V4,60.0,59.03062422939024,74.11612146968349,110.33454928619928,15.12930230281414
L_V4+C_V4,L_V4,C_V4,62.0,59.20160371917552,74.33879845238091,111.52369299392711,11.979485851733186
L_V4+C_V4,L_V4,C_V4,64.0,59.45381132626052,74.6446804247532,113.47908551810283,8.852502727784486
L_V4+C_V4,L_V4,C_V4,66.0,59.962611082207,75.03247467875839,115.37419348173448,5.745664148535775
L_V4+C_V4,L_V4,C_V4,68.0,61.177386437685314,75.49862140903538,117.19104783691806,2.656453417887976
L_V4+C_V4,L_V4,C_V4,70.0,62.41893979863252,76.04331975941128,118.93916946807823,-0.4150113130416828
L_V4+C_V4,L_V4,C_V4,72.0,63.68029634794931,76.6646888395612,120.62429024305756,-3.4641210912595963
L_V4+C_V4,L_V4,C_V4,74.0,64.96813460110725,77.36078491164155,122.26028309373189,-6.491373008354876
L_V4+C_V4,L_V4,C_V4,76.0,66.29260337082314,78.1317659410568,121.39547727796528,-9.498584141888896
L_V4+C_V4,L_V4,C_V4,78.0,67.64844879028269,78.9775170794566,119.46164221475328,-12.48993189580745
L_V4+C_V4,L_V4,C_V4,80.0,68.82395088205651,79.8964196993382,120.9667732122074,-15.467063723358113
L_V4+C_V4,L_V4,C_V4,82.0,69.44395587609239,80.8858996775388,123.2772602290892,-18.4287943259016
L_V4+C_V4,L_V4,C_V4,84.0,70.18791901532744,81.94217464082766,125.6045885985172,-21.372636375089307
L_V4+C_V4,L_V4,C_V4,86.0,71.0441417612922,83.063019125651,127.95386623346246,-24.303200230033056
L_V4+C_V4,L_V4,C_V4,88.0,72.03174926269867,84.24634511546876,130.43302548503345,-27.21897546743688
L_V4+C_V4,L_V4,C_V4,90.0,73.16680535213627,85.48919478324711,132.89603246676327,-30.12331241007981
L_V4+C_V4,L_V4,C_V4,92.0,74.45035515907567,86.7862979762633,135.34300456821214,-33.02058139010682
L_V4+C_V4,L_V4,C_V4,94.0,75.88073274828153,88.1366402028488,136.66753698580473,-35.910003266569205
L_V4+C_V4,L_V4,C_V4,96.0,77.6253181892022,89.53635578355805,137.919216520726,-38.78712932550512
L_V4+C_V4,L_V4,C_V4,98.0,79.66059713074907,90.98368007376196,139.128304521354,-41.65106793880423
L_V4+C_V4,L_V4,C_V4,100.0,81.86267749259034,92.47399028221696,140.2989106718832,-44.506450864360765
L_V4+C_V4,L_V4,C_V4,102.0,84.19234908030214,94.00389032266452,141.43628696006357,-47.35556107345478
L_V4+C_V4,L_V4,C_V4,104.0,86.6031201463543,95.5710093334375,142.53203332708006,-50.19806199132091
