k,subset_id,anchor_labels,ranges,params,redundancy,d_tag_mm,median_3d,rmse,n_solved,method
4,0,ABCD,6,10,-4,36.401593348617865,102.79167122638108,152.2181423509913,24,median_range_huber_ls
4,1,ABCE,6,10,-4,27.297250075606833,171.2076000902935,267.6320172755256,24,median_range_huber_ls
4,2,ABCF,6,10,-4,41.98989967999184,143.8381090466424,216.76297312640648,24,median_range_huber_ls
4,3,ABCG,6,10,-4,23.05038678048045,177.5868131690779,279.96380198231446,24,median_range_huber_ls
4,4,ABCH,6,10,-4,25.924315432483397,140.08655257744948,228.51575247942304,24,median_range_huber_ls
4,5,ABDE,6,10,-4,50.37703728252997,106.76259648170415,206.972783261402,24,median_range_huber_ls
4,6,ABDF,6,10,-4,63.2791009168416,192.89929765104733,275.7877299580034,24,median_range_huber_ls
4,7,ABDG,6,10,-4,45.334120808279465,106.19652276454191,254.97644590337978,24,median_range_huber_ls
4,8,ABDH,6,10,-4,48.10606494503249,172.76909808739464,242.99255084040686,24,median_range_huber_ls
4,9,ABEF,6,10,-4,63.2791009168416,144.24246371606404,208.7514590450083,24,median_range_huber_ls
4,10,ABEG,6,10,-4,36.401593348617865,130.5518543198092,253.26149641296902,24,median_range_huber_ls
4,11,ABEH,6,10,-4,41.600625157108055,100.17323198645654,140.37743752890614,24,median_range_huber_ls
4,12,ABFG,6,10,-4,51.85372117029915,115.83841227453152,224.87968183073042,24,median_range_huber_ls
4,13,ABFH,6,10,-4,52.967174600123855,208.02408475338953,251.4237838118403,24,median_range_huber_ls
4,14,ABGH,6,10,-4,40.06718506133423,152.5283993381733,200.33779075317042,24,median_range_huber_ls
4,15,ACDE,6,10,-4,47.55271715099406,196.60165624690356,289.1711729486585,24,median_range_huber_ls
4,16,ACDF,6,10,-4,60.81942366281634,144.49894658221115,233.39359036617475,24,median_range_huber_ls
4,17,ACDG,6,10,-4,41.51363423618566,194.1290163680394,267.4683352874004,24,median_range_huber_ls
4,18,ACDH,6,10,-4,45.64103159366519,85.85265306108901,178.50936958254513,24,median_range_huber_ls
4,19,ACEF,6,10,-4,56.17797585867538,164.36514122495439,227.97318427991726,24,median_range_huber_ls
4,20,ACEG,6,10,-4,30.401092214380824,182.56843555468367,252.58546224699953,24,median_range_huber_ls
4,21,ACEH,6,10,-4,35.56050511000697,127.13265192686072,226.93414641051112,24,median_range_huber_ls
4,22,ACFG,6,10,-4,45.334120808279465,172.60584700922215,240.70023161401892,24,median_range_huber_ls
4,23,ACFH,6,10,-4,49.59183514785525,128.3382619495478,213.89535098191226,24,median_range_huber_ls
4,24,ACGH,6,10,-4,34.282825623632334,170.87952719303655,234.6532691462882,24,median_range_huber_ls
4,25,ADEF,6,10,-4,78.59510730270483,133.98836409383136,216.99621312524744,24,median_range_huber_ls
4,26,ADEG,6,10,-4,50.77618461959965,137.703903472641,233.28359304458974,24,median_range_huber_ls
4,27,ADEH,6,10,-4,51.43861554930129,133.94551382874133,163.54805120095153,24,median_range_huber_ls
4,28,ADFG,6,10,-4,64.16224012797974,147.62035382933345,167.9216591531622,24,median_range_huber_ls
4,29,ADFH,6,10,-4,64.10774724965577,155.67306078600308,265.845657606089,24,median_range_huber_ls
4,30,ADGH,6,10,-4,48.10606494503249,108.53958656557555,158.01483110570095,24,median_range_huber_ls
4,31,AEFG,6,10,-4,64.232339229251,148.72446046418378,298.8060537642069,24,median_range_huber_ls
4,32,AEFH,6,10,-4,64.17784635092701,98.27625881057824,257.46138922516946,24,median_range_huber_ls
4,33,AEGH,6,10,-4,45.31337640122739,96.98373903029668,297.43325256792036,24,median_range_huber_ls
4,34,AFGH,6,10,-4,52.967174600123855,125.67230324742013,181.94661703935432,24,median_range_huber_ls
4,35,BCDE,6,10,-4,44.97962046668101,113.64756634237227,173.90727238103318,24,median_range_huber_ls
4,36,BCDF,6,10,-4,55.25818285891486,198.0659401102784,303.00377383456066,24,median_range_huber_ls
4,37,BCDG,6,10,-4,40.962722792560655,98.8614002879896,198.43729067142212,24,median_range_huber_ls
4,38,BCDH,6,10,-4,44.05615988381517,174.4237247291424,273.5538519900298,24,median_range_huber_ls
4,39,BCEF,6,10,-4,51.99993472141269,151.61246497302528,200.86687986691942,24,median_range_huber_ls
4,40,BCEG,6,10,-4,28.87423734511107,165.9849762041527,290.4971832825073,24,median_range_huber_ls
4,41,BCEH,6,10,-4,34.086361109237224,172.17953165501007,184.41558622331289,24,median_range_huber_ls
