sector_deg,mean_median_3d,worst_anchor,std_median_3d
0,106.47905505377932,H,32.45316852416966
30,106.28899578369256,F,44.63037478208038
60,108.2420818147748,A,29.450523919479913
90,105.05134880018493,A,29.67115530544722
120,106.1578309494668,H,36.68174880342292
150,98.8341067542842,D,36.08331813911051
180,86.77561865538156,D,25.993321397065582
210,102.90584058902058,C,48.81423633830334
240,82.81432592031994,H,26.441833713220454
270,87.40705460740831,D,19.204727866809108
300,117.70644100451004,D,56.12307889121575
330,108.75852413274374,D,33.65689473721096
