ok,x_mm,y_mm,z_mm,error_3d_mm,error_horiz_mm,error_vert_mm,signed_vertical_mm,n_anchors,notes,position_id,label
True,-473.1071079940381,116.70026393705142,-333.15322223587583,107.83460028938202,85.39942264123087,65.84253664702793,-65.84253664702793,8,`ftol` termination condition is satisfied.,ID01,ORACLE_LINK_ESTIMATOR
True,-540.2927301730118,1080.275755671359,-225.8339787216852,42.55980894459954,34.21369607276225,25.31324432864085,-25.31324432864085,8,`ftol` termination condition is satisfied.,ID02,ORACLE_LINK_ESTIMATOR
True,-561.7582955040966,1680.5588638793922,-251.9504340027296,55.711204266274635,8.889473965169675,54.99741387939207,54.99741387939207,8,`ftol` termination condition is satisfied.,ID03,ORACLE_LINK_ESTIMATOR
True,-280.0560092101492,105.93441236564077,498.1461665751255,88.50815068864573,44.97526791251243,76.22937763435924,-76.22937763435924,8,`ftol` termination condition is satisfied.,ID04,ORACLE_LINK_ESTIMATOR
True,-182.60372170606823,1108.6136626241694,500.6985066980434,27.561362545420618,27.099031592006707,5.027046064592696,5.027046064592696,8,`ftol` termination condition is satisfied.,ID05,ORACLE_LINK_ESTIMATOR
True,-199.75624706578938,1735.6475901010065,485.5538704186483,51.90490915178356,11.141476706983154,50.6950401010065,50.6950401010065,8,`ftol` termination condition is satisfied.,ID06,ORACLE_LINK_ESTIMATOR
True,283.70266432559384,143.93274535923416,57.84131738323966,96.30803672953209,68.56433513042103,67.63260964076585,-67.63260964076585,8,`ftol` termination condition is satisfied.,ID07,ORACLE_LINK_ESTIMATOR
True,411.3715568955562,1211.2928659638671,-94.86867367266454,84.65632834322204,30.392830583283494,79.01246596386704,79.01246596386704,8,`ftol` termination condition is satisfied.,ID08,ORACLE_LINK_ESTIMATOR
True,399.01595711194875,1525.6151542902135,-44.772925546854346,47.11440580144811,20.187760431855303,42.57019570978673,-42.57019570978673,8,`ftol` termination condition is satisfied.,ID09,ORACLE_LINK_ESTIMATOR
True,72.84212586307707,227.75229015258657,-947.9577909496292,16.371164730687322,12.217235342388486,10.897439847413438,-10.897439847413438,8,`ftol` termination condition is satisfied.,ID10,ORACLE_LINK_ESTIMATOR
True,-73.40128205366261,1134.7001448440542,-952.8740832618955,10.418646297256371,10.3492745134464,1.2002948440540422,1.2002948440540422,8,`ftol` termination condition is satisfied.,ID11,ORACLE_LINK_ESTIMATOR
True,-14.683812711328278,1635.5129884656026,-948.4278678758692,54.440549145339745,30.069291436172907,45.382938465602365,45.382938465602365,8,`ftol` termination condition is satisfied.,ID12,ORACLE_LINK_ESTIMATOR
True,-183.35066493613087,1109.6477033836966,-186.84422803327195,32.09985456174943,12.771227512439944,29.449896616303477,-29.449896616303477,8,`ftol` termination condition is satisfied.,ID13,ORACLE_LINK_ESTIMATOR
True,-187.42360125645598,1075.9742243916623,-158.4011994253866,68.21729090213235,37.99962037726851,56.65357560833763,-56.65357560833763,8,`ftol` termination condition is satisfied.,ID14,ORACLE_LINK_ESTIMATOR
True,-197.43351729819028,1097.1328563962463,-193.90162248573708,36.51005975919806,9.970580116462209,35.12224360375376,-35.12224360375376,8,`ftol` termination condition is satisfied.,ID15,ORACLE_LINK_ESTIMATOR
True,-186.87714918617004,1110.3085088439739,-173.9575083664476,16.789794520321713,11.994392696378553,11.748691156026098,-11.748691156026098,8,`ftol` termination condition is satisfied.,ID16,ORACLE_LINK_ESTIMATOR
True,-130.8132160834885,217.89017504159864,-303.7157131572181,55.94121664968389,55.30216261625752,8.431520041598617,8.431520041598617,8,`ftol` termination condition is satisfied.,ID17,ORACLE_LINK_ESTIMATOR
True,-315.8004335794795,239.54830884083026,-228.96519615084895,38.79891895111833,20.972028814593752,32.64245884083027,32.64245884083027,8,`ftol` termination condition is satisfied.,ID18,ORACLE_LINK_ESTIMATOR
True,-196.5183875496477,96.00751105703117,-83.22567376240093,114.49398657135026,31.92487729161308,109.95305894296885,-109.95305894296885,8,`ftol` termination condition is satisfied.,ID19,ORACLE_LINK_ESTIMATOR
True,-58.59112827660789,221.03339465643197,-209.84523681584383,30.42529079858538,24.175127985429697,18.47326465643195,18.47326465643195,8,`ftol` termination condition is satisfied.,ID20,ORACLE_LINK_ESTIMATOR
True,-197.17688832439086,1557.0798200877468,-211.91439730223325,46.631849297697556,21.140562399025363,41.56447991225309,-41.56447991225309,8,`ftol` termination condition is satisfied.,ID21,ORACLE_LINK_ESTIMATOR
True,-223.17170090544525,1586.8036955664368,-222.68099636919604,20.154305108026456,15.79582530743961,12.51750443356309,-12.51750443356309,8,`ftol` termination condition is satisfied.,ID22,ORACLE_LINK_ESTIMATOR
True,-216.06824070576494,1603.4088996751261,-232.88441077383695,18.06426419268338,17.671877082914516,3.744649675126311,3.744649675126311,8,`ftol` termination condition is satisfied.,ID23,ORACLE_LINK_ESTIMATOR
True,-221.38135117009347,1625.5633709566414,-225.97713362806388,26.175784914534827,3.1802668888669996,25.981870956641387,25.981870956641387,8,`ftol` termination condition is satisfied.,ID24,ORACLE_LINK_ESTIMATOR
