link_id,position_id,anchor_id,anchor_label,model,best_loglik,bic,mu_los,sigma,pi,lambda_or_equiv,n_inits_tried,adam_steps,lbfgs_steps,device
ID01_A,ID01,0,A,M4,-5545.816544978227,11119.990062576564,1510.7750582933897,25.261579245671523,0.10488334969742327,35.42219458725094,100,500,200,cuda:1
ID01_B,ID01,1,B,M4,-5366.013714101728,10760.384400823565,1767.2978465613753,20.87253574996736,0.037315093013939274,51.452306045015,100,500,200,cuda:1
ID01_C,ID01,2,C,M4,-5678.915491220788,11386.181277263808,2176.127361099399,27.62446123549312,0.05854412968818699,52.332118419080075,100,500,200,cuda:1
ID01_D,ID01,3,D,M4,-5422.163564748671,10872.680764612043,2109.7290894866364,22.315703424613897,0.03298662232123421,42.31946266538865,100,500,200,cuda:1
ID01_E,ID01,4,E,M4,-5443.854181823435,10916.07200293519,2314.752047959973,21.467994796756347,0.018454351753223984,115.6796622712942,100,500,200,cuda:1
ID01_F,ID01,5,F,M4,-6620.558355249563,13269.450261889626,2413.725633576091,63.84721978130157,0.0995852242983602,34.40260416418566,100,500,200,cuda:1
ID01_G,ID01,6,G,M4,-6801.1536614408205,13630.46596428109,2635.0,166.5039391900603,0.8910229017239751,178.6957351408445,100,500,200,cuda:1
ID01_H,ID01,7,H,M4,-6598.582034902871,13225.453757407891,2401.628153694245,343.0665515431572,0.8669877836316002,130.720470798495,100,500,200,cuda:1
ID02_A,ID02,0,A,M4,-5155.741879126025,10339.844065595154,1872.7170197035648,17.42504391795189,0.049728563337203796,42.453858645201564,100,500,200,cuda:1
ID02_B,ID02,1,B,M4,-5284.441390466212,10597.246420220745,1830.7732222306868,19.522153185124942,0.004070263018579024,84.41111276288206,100,500,200,cuda:1
ID02_C,ID02,2,C,M4,-5722.019709265672,11472.386370269385,2246.577346178743,26.713219874524743,0.055599393896645734,95.49482757803393,100,500,200,cuda:1
ID02_D,ID02,3,D,M4,-5146.354784962947,10321.073209214213,2447.882929709768,17.435402597813386,0.08591000201893763,23.834614517520233,100,500,200,cuda:1
ID02_E,ID02,4,E,M4,-5372.348753092183,10773.061145472686,1697.850772617452,21.734862086517513,0.058754451603266936,20.14922738302465,100,500,200,cuda:1
ID02_F,ID02,5,F,M4,-7057.983327187803,14144.31026023307,1748.8102076186824,89.31444062046867,0.008049247327117398,10.18979238173239,100,500,200,cuda:1
ID02_G,ID02,6,G,M4,-6923.235695869541,13874.744079740634,2281.838437205225,93.39477213153553,0.06954718484140453,10.052478271270324,100,500,200,cuda:1
ID02_H,ID02,7,H,M4,-6150.960166997574,12330.237071573585,2197.1089792943358,41.26529325721174,0.017057174587784465,186.97260294770425,100,500,200,cuda:1
ID03_A,ID03,0,A,M4,-5850.951037628541,11730.262382600185,2201.261454824891,29.198667899235687,0.19787479558786772,65.86487860993081,100,500,200,cuda:1
ID03_B,ID03,1,B,M4,-5462.239492772479,10952.842624833278,2435.1156670836513,22.35088239442445,0.010259927728778519,95.92623162971574,100,500,200,cuda:1
ID03_C,ID03,2,C,M4,-5414.826172043111,10858.005979200923,2543.615851546473,21.61958965198399,0.048162650868981444,53.57300652106467,100,500,200,cuda:1
ID03_D,ID03,3,D,M4,-5469.829018851087,10968.021676990495,2977.9140321404475,23.333358287095177,0.025776314273841326,10.125727632956302,100,500,200,cuda:1
ID03_E,ID03,4,E,M4,-5537.356515806971,11103.066666728644,1553.766019588394,25.041672162410332,0.03778451253699334,17.245522619699923,100,500,200,cuda:1
ID03_F,ID03,5,F,M4,-6912.005423137919,13852.330952275528,1605.914992618673,87.52556240067058,0.09160538628730762,21.31533999823204,100,500,200,cuda:1
ID03_G,ID03,6,G,M4,-6982.812254607905,13993.835393412739,2260.8080605204186,105.27325381082274,0.04730534649304005,10.199589154866864,100,500,200,cuda:1
ID03_H,ID03,7,H,M4,-5764.152831121849,11556.574941638311,2138.4419975786377,31.895276968743307,0.00845507141869769,191.0672000116878,100,500,200,cuda:1
ID04_A,ID04,0,A,M4,-5174.480482136993,10377.317936894095,2461.8147835139953,18.744283757126976,0.08711077652589706,19.597626292253743,100,500,200,cuda:1
ID04_B,ID04,1,B,M4,-5540.912620053416,11110.185547449935,1336.6784759883615,24.201604864073822,0.004289589477007864,121.45535336179766,100,500,200,cuda:1
ID04_C,ID04,2,C,M4,-5250.160808960396,10528.675253035493,1450.5739330914757,19.0067327359841,0.037944132723700966,48.57254500535387,100,500,200,cuda:1
ID04_D,ID04,3,D,M4,-5391.219944967532,10810.803529223384,2570.7275896791216,21.37941605006253,0.007076691674281109,67.28242739635421,100,500,200,cuda:1
ID04_E,ID04,4,E,M4,-5582.619819354108,11193.59994605132,2808.4113653508093,24.01802308133443,0.04944490519924506,71.6718548705198,100,500,200,cuda:1
ID04_F,ID04,5,F,M4,-6837.698563390096,13703.683420237037,2283.8513151815523,84.01063920556442,0.13077309856294794,28.307006992272616,100,500,200,cuda:1
ID04_G,ID04,6,G,M4,-7081.552427170087,14191.367307794564,2224.681604651793,100.09865710456944,0.038184338608632566,17.904540427041514,100,500,200,cuda:1
ID04_H,ID04,7,H,M4,-5744.2531600584725,11516.823057695383,3092.9378576849513,28.575357901033183,0.015344960885406812,181.06409106142115,100,500,200,cuda:1
ID05_A,ID05,0,A,M4,-6331.05861955123,12690.464190840501,2994.550728297257,81.4705489925097,0.8925915514119305,143.4908159769127,100,500,200,cuda:1
ID05_B,ID05,1,B,M4,-5683.103532462916,11394.557359748063,1614.8997083319255,25.036070575682423,0.04269132283218714,142.79822824245804,100,500,200,cuda:1
ID05_C,ID05,2,C,M4,-5390.078197346325,10808.51336731276,1740.8411621701052,21.323966610729382,0.026821773651780983,56.225685443406284,100,500,200,cuda:1
ID05_D,ID05,3,D,M4,-5383.324486938238,10795.00928121958,2587.6175916112834,21.325271877059087,0.031074005253752587,45.62817113978688,100,500,200,cuda:1
ID05_E,ID05,4,E,M4,-5568.347203397567,11165.054714138238,2478.463427347993,24.66425594235384,0.004462377975355926,138.1726428248342,100,500,200,cuda:1
ID05_F,ID05,5,F,M4,-7166.448888517189,14361.221248621141,1499.790156209834,109.82394257965831,0.10615906699785041,26.898763737437278,100,500,200,cuda:1
ID05_G,ID05,6,G,M4,-6625.7565443649855,13279.60099442226,1599.6755208839193,99.81972928941165,0.13459422454319603,26.540044332541193,100,500,200,cuda:1
ID05_H,ID05,7,H,M4,-6285.036314394872,12598.409534478134,2561.1888088493206,47.967439614186574,0.1816095892939246,34.08996609027845,100,500,200,cuda:1
ID06_A,ID06,0,A,M4,-5396.4847829203045,10821.32320095531,3014.7569497672866,22.05230060677292,0.15684688490831364,38.59595178149363,100,500,200,cuda:1
ID06_B,ID06,1,B,M4,-5464.009294141649,10956.378895626402,1996.8807819566964,22.43271278303579,0.009834461173628538,107.56259005455519,100,500,200,cuda:1
ID06_C,ID06,2,C,M4,-5608.581995104447,11245.524297551998,2237.9035037119343,26.058295654199792,0.04894168484909228,40.113308091294215,100,500,200,cuda:1
ID06_D,ID06,3,D,M4,-5691.3114229567045,11410.983153256513,2868.5704795354827,27.539417984406445,0.0021387461788934677,154.3225146461199,100,500,200,cuda:1
ID06_E,ID06,4,E,M4,-5648.210029851603,11324.78036704631,2491.781131992161,27.146787956071083,0.0375925310470828,28.395220077919305,100,500,200,cuda:1
ID06_F,ID06,5,F,M4,-6722.777590751668,13473.895438679147,1380.6350889647576,74.02698244920772,0.11120488835288835,28.783410262353765,100,500,200,cuda:1
ID06_G,ID06,6,G,M4,-6801.47187832479,13631.140776014603,1568.953219339632,98.70984410737054,0.10735091338094913,24.046780755416407,100,500,200,cuda:1
ID06_H,ID06,7,H,M4,-5816.77725246752,11661.834001448875,2468.4987299470636,32.2047439090571,0.016393617791365486,190.731937383589,100,500,200,cuda:1
ID07_A,ID07,0,A,M4,-5570.094772759829,11168.553184807977,2361.6802391292704,24.738977371586664,0.15742473257150338,45.19608195698311,100,500,200,cuda:1
ID07_B,ID07,1,B,M4,-5778.69004809668,11585.730391015592,1992.9969907092195,27.007970388315933,0.09016782922675229,102.25936971070675,100,500,200,cuda:1
ID07_C,ID07,2,C,M4,-5521.53791935138,11071.436146045864,1284.3098298886175,23.929434752069128,0.001409912021699752,179.32012186839523,100,500,200,cuda:1
ID07_D,ID07,3,D,M4,-5302.53072445585,10633.41842153181,1806.5228557077558,20.42129717449835,0.024786485223396052,15.477144319729813,100,500,200,cuda:1
ID07_E,ID07,4,E,M4,-5396.117878251262,10820.599395790843,2954.8935513239653,21.162813171729468,0.0063875371372058305,126.56198925897803,100,500,200,cuda:1
ID07_F,ID07,5,F,M4,-7104.624420861221,14237.585747410832,2528.4573586581646,94.13396298969373,0.05887813045011432,137.0586789395374,100,500,200,cuda:1
ID07_G,ID07,6,G,M4,-6932.805286602723,13893.694909062602,2258.199414154528,113.56059194855382,0.008969999748095925,10.213033160620247,100,500,200,cuda:1
ID07_H,ID07,7,H,M4,-6143.887401197342,12316.091539973122,2392.9939759931,44.495601989123706,0.05539812341840616,10.017790276551294,100,500,200,cuda:1
ID08_A,ID08,0,A,M4,-5827.16512636691,11682.683887848521,2502.3447342046334,31.740045205094603,0.1685467260420366,56.6285217729899,100,500,200,cuda:1
ID08_B,ID08,1,B,M4,-5679.3468644359455,11387.05736816021,2653.328652054765,27.94392499238189,0.07137358539425104,40.12044083574017,100,500,200,cuda:1
ID08_C,ID08,2,C,M4,-5449.65120143381,10927.666042155939,1685.3498390209327,22.693758591917053,0.0037564938149675774,79.43878798657448,100,500,200,cuda:1
ID08_D,ID08,3,D,M4,-5134.401169183806,10297.162645710716,2000.6854439754973,17.228502766912086,0.007604123607852469,64.86796667241332,100,500,200,cuda:1
ID08_E,ID08,4,E,M4,-5458.845858576806,10946.055356441932,2319.8922406984448,21.08673650491295,0.05382930013325918,77.25864980833279,100,500,200,cuda:1
ID08_F,ID08,5,F,M4,-6925.042416138482,13878.404938276653,2227.828482327854,84.78912933973385,0.04261896915296749,34.54222690714904,100,500,200,cuda:1
ID08_G,ID08,6,G,M4,-6694.018299861044,13416.160029626553,1654.999998128852,100.22575187501502,0.09342356471906525,10.009637317929572,100,500,200,cuda:1
ID08_H,ID08,7,H,M4,-5957.17084695775,11942.60414736989,1737.990821331047,49.39878250840349,0.3589948613471565,45.19156987348144,100,500,200,cuda:1
ID09_A,ID09,0,A,M4,-5259.849695752185,10548.03964868018,2671.4196219330756,19.716951895363287,0.017544323956317626,44.59206639164526,100,500,200,cuda:1
ID09_B,ID09,1,B,M4,-5487.055933480579,11002.468839581268,2590.0562356097225,21.525250624454646,0.031383789322670136,130.9860376093943,100,500,200,cuda:1
ID09_C,ID09,2,C,M4,-5387.7953811790785,10803.94105718039,1986.0171433698902,21.626007497463615,0.002104993467992697,127.02621726115945,100,500,200,cuda:1
ID09_D,ID09,3,D,M4,-5304.79963315464,10637.959573652384,2414.167417717595,19.32438015810188,0.03488524487037239,67.86521783477974,100,500,200,cuda:1
ID09_E,ID09,4,E,M4,-6008.179899222183,12044.713433559067,2259.941076320597,36.297520717211036,0.08950106046545189,56.141664319537846,100,500,200,cuda:1
