iteration,oob_median,n_oob
0,56.063579307493285,12
1,56.96944616030262,8
2,43.59577355704859,8
3,36.9660237806292,10
4,68.1048139379172,9
5,74.0849676950493,8
6,56.95624283722256,11
7,35.45963110486257,10
8,32.047032766298905,9
9,40.01698482453245,9
10,44.933074101553416,10
11,43.34071585330919,11
12,54.62734376871395,7
13,39.173876744703826,8
14,54.466682559317356,8
15,37.870678889839695,8
16,49.525505286981335,9
17,56.11167823156818,8
18,38.019235322446534,7
19,48.997714989019514,8
20,39.31383351823179,8
21,43.66511566750033,6
22,39.33880028300958,12
23,55.83403354651359,9
24,74.91041417498538,9
25,49.115260273018045,11
26,42.101083615118554,10
27,55.83412839836549,10
28,34.71212885997842,9
29,37.8135032818645,7
30,64.9380712397152,8
31,49.780711029933954,6
32,67.22801425019864,7
33,34.45579785798129,7
34,55.85781272923127,8
35,40.63433294440177,8
36,33.52575760455894,9
37,56.99262746378029,8
38,35.117797242480634,7
39,46.326736212275435,9
40,35.02238478712022,9
41,43.26921491497325,10
42,44.83263821248813,7
43,38.150131149851916,9
44,52.95848736776446,8
45,40.13790223232739,9
46,51.45281961199867,6
47,40.98388083332431,6
48,41.56165660609377,6
49,49.37477620549914,10
50,38.87467281167118,9
51,72.34307865943839,8
52,74.16886803059728,11
53,44.29893740462956,7
54,49.26818305309585,8
55,63.55900230034639,8
56,37.45577599982355,8
57,47.148600739903586,8
58,50.52967610336449,9
59,41.53043796540297,8
60,39.61704555775503,9
61,55.46264777140543,11
62,58.6853086542839,10
63,37.73043536856657,7
64,54.61829677037654,8
65,44.75833576426461,10
66,59.08531244168205,5
67,64.9580581759784,6
68,58.82806550118944,8
69,56.6087096114675,10
70,42.877718478869156,10
71,48.42904854582012,6
72,42.101083615118554,8
73,54.69111966816416,9
74,47.70003105142157,7
75,55.88241431782208,8
76,53.63904230166197,7
77,47.90575146802538,9
78,62.901683768357394,12
79,37.86819072814811,8
80,52.18722400410224,9
81,54.00923601659046,8
82,58.088799831424815,11
83,51.63151264742923,10
84,78.41599266249642,6
85,76.15854611244795,8
86,38.114241730607816,8
87,52.863141721713845,6
88,55.734640993370434,6
89,38.203965828074814,8
90,29.329812744641014,10
91,42.99380198851773,12
92,44.42386961472,11
93,42.152582158000314,8
94,61.34513706359594,10
95,54.65205919161087,9
96,39.173876744703826,8
97,62.53174014935786,8
98,44.44170010832853,10
99,35.546303269687414,7
100,44.748332332242015,10
101,47.7282470843621,9
102,81.33597493741566,7
103,34.28949771150733,10
104,47.770904108309196,7
105,58.22684805079525,7
106,65.55494111460654,7
107,51.77259255018873,10
108,56.07372162264941,12
109,53.037344598066355,10
110,34.729286139517924,8
111,40.47722010344149,10
112,37.156195906988266,7
113,66.81359426444821,10
114,35.010257096510564,9
115,36.96577301563506,7
116,57.5069900072215,11
117,49.89879601199956,10
118,32.690078615164865,6
119,52.778289131343115,7
120,34.58981146613232,8
121,59.6762745873621,8
122,49.33092299917212,8
123,47.787010029768105,9
124,43.59577355704859,10
125,55.95700903893383,9
126,55.83412839836549,12
127,47.78962968029761,9
128,54.848844397104116,10
129,39.107198778504525,10
130,58.613266422333496,10
131,59.304537625017105,5
