capture_id,tag,median_3d_before,median_3d_after,delta_t_opt_ms
R01,BS2DCE,115.44534451004853,114.7627347061933,21.0
R01,BSDC91,103.39533746217097,103.10818525156873,-4.0
R02,BS2DCE,112.53706711816928,110.42121913542972,37.0
R02,BSDC91,114.90294202078502,114.3439417924218,-9.0
R03,BS2DCE,123.4502998892088,122.07912816245184,20.0
R03,BSDC91,96.14907104811698,91.29910414491516,-32.0
R04,BS2DCE,109.2499298699372,108.49130027231953,-15.0
R04,BSDC91,97.87197527217717,97.1899903763861,-5.0
R05,BS2DCE,113.10670621206464,110.59515827672033,21.0
R05,BSDC91,96.3561413716278,96.2350185521734,-9.0
R06,BS2DCE,118.99754123195905,118.24734768304248,14.0
R06,BSDC91,98.05458597739661,97.69407008022834,-18.0
R07,BS2DCE,106.75507099221241,102.4458576107578,44.0
R07,BSDC91,94.42415460911526,93.1443442636979,15.0
R08,BS2DCE,103.35969119592542,103.0270231219201,21.0
R08,BSDC91,80.45742944154446,80.07725545194553,-8.0
R09,BS2DCE,108.89113909169382,108.8312895775247,5.0
R09,BSDC91,105.91902990914468,105.50540393851577,7.0
R10,BS2DCE,103.13226199559631,102.77919394978565,-7.0
R10,BSDC91,86.21514489524509,86.02044815885736,-5.0
R11,BS2DCE,100.77603022358815,100.77603022358815,0.0
R11,BSDC91,89.45874676063532,89.22985287406763,1.0
R12,BS2DCE,107.61999774087309,107.36974334104762,-2.0
R12,BSDC91,93.61505811718408,92.58484795161343,-20.0
R13,BS2DCE,88.27729581991042,86.26622486368612,-16.0
R13,BSDC91,88.13247480663642,87.31096848286609,4.0
R14,BS2DCE,98.76771983859989,98.76771983859989,0.0
R14,BSDC91,83.01035292475267,82.40581302288757,-14.0
R15,BS2DCE,103.81734316198403,102.93049617846373,14.0
R15,BSDC91,99.88448347702727,96.01777434589647,42.0
R16,BS2DCE,109.15748438504028,107.62546871703343,21.0
R16,BSDC91,96.99626394077777,96.17746012645983,-17.0
R17,BS2DCE,102.19352456947642,101.0931024910429,-25.0
R17,BSDC91,88.22185214101268,87.26791144100767,4.0
