position_id,baseline_error_3d_mm,selected_anchor_id,selected_anchor_label,selected_abs_residual_mm,gated_error_3d_mm,error_reduction_mm,d_tag_train_mm,baseline_median_mm,baseline_p95_mm,baseline_rmse_mm,gated_median_mm,gated_p95_mm,gated_rmse_mm,median_improvement_mm,p95_improvement_mm,rmse_improvement_mm,bootstrap_median_improvement_ci95_low,bootstrap_median_improvement_ci95_high,bootstrap_p95_improvement_ci95_low,bootstrap_p95_improvement_ci95_high,bootstrap_p_median_improvement_le0,bootstrap_p_p95_improvement_le0
ID01,164.46769385155918,4,E,246.20617711028035,35.61804201905851,128.84965183250068,5.7913588759248,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID02,48.029634661426414,3,D,135.8926228719074,81.67814534747767,-33.64851068605125,5.696336196316992,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID03,35.61977169522973,3,D,397.8588320301769,8.29431816259411,27.32545353263562,2.7759795695717457,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID04,162.25183275796982,5,F,295.76626072030854,86.81390557355893,75.4379271844109,3.696290865696838,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID05,38.42950820723156,0,A,381.672373584418,31.922675108041012,6.506833099190544,7.41953430218291,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID06,192.40182765551933,2,C,155.47399806596263,84.62929057371876,107.77253708180056,10.864438855739905,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID07,95.8621008033365,4,E,218.50209053609296,85.00738627360785,10.854714529728653,6.809323444949229,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID08,60.5555348896421,1,B,291.8501582661447,16.242843239720735,44.31269164992136,8.273689230277341,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID09,56.20018999086801,3,D,267.10772081951836,118.84675106006839,-62.646561069200374,2.7759795695717457,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
ID10,57.37811155050123,5,F,187.19536343210302,41.326716366456786,16.051395184044445,4.210119101017739,44.485154905540796,164.13531468752078,81.53684273071075,53.79415508737393,118.63114584929035,68.91965745125113,-9.309000181833134,45.50416883823043,12.617185279459619,-27.72884149230309,17.39560207382913,-32.377491423896075,90.24633785473395,0.7344,0.1077
