row_type,scope,n_frames,quality_min,quality_p20,quality_median,quality_p95,quality_max,residual_mean_mm,residual_median_mm,residual_p95_mm,positive_bias_gt50_rate,quality_residual_pearson_r,quality_residual_pearson_p,quality_residual_spearman_r,quality_residual_spearman_p,global_low_quality_threshold_p20,quality_split_method
scope_summary,all,228265,65.0,100.0,100.0,100.0,100.0,3.887757650099665,0.0,52.0,0.05312684818084244,-0.023286041654002904,9.286970375897381e-29,-0.006859086974262176,0.001048819957945921,100.0,
scope_summary,anchor_A,28760,90.0,100.0,100.0,100.0,100.0,-0.1885605006954103,0.0,41.0,0.022496522948539637,0.013065370413780733,0.026710352652734925,0.012646648976277727,0.03197611273718484,100.0,
scope_summary,anchor_B,28781,94.0,100.0,100.0,100.0,100.0,0.29258886070671625,0.0,41.0,0.02498175879920781,-0.00943748489508204,0.10936982783787003,-0.005121825117469575,0.3849107232600832,100.0,
scope_summary,anchor_C,28759,88.0,100.0,100.0,100.0,100.0,0.5871553252894746,0.0,40.0,0.019680795577036753,-0.004090133046738864,0.48793491676771966,-0.0012545237642661543,0.8315305594983347,100.0,
scope_summary,anchor_D,28789,94.0,100.0,100.0,100.0,100.0,0.4714300600923964,0.0,41.0,0.02275174545833478,-0.02105103826848241,0.00035421393518099284,-0.015031343631313946,0.010758403561239735,100.0,
scope_summary,anchor_E,28793,93.0,100.0,100.0,100.0,100.0,-0.34268745875733686,0.0,42.0,0.024554579238009237,-0.010727042644301832,0.06872983243959345,-0.011408170641574395,0.052895336822847513,100.0,
scope_summary,anchor_F,28538,70.0,100.0,100.0,100.0,100.0,9.523442427640338,0.0,113.0,0.17737753171210316,-0.05553028643902319,6.13412551390702e-21,-0.039704125372315095,1.950963066960201e-11,100.0,
scope_summary,anchor_G,27542,65.0,100.0,100.0,100.0,100.0,19.47051775470191,0.0,67.0,0.0653910391402222,0.018695660691566807,0.001916851897738107,-0.002757315032505831,0.6472555735452264,100.0,
scope_summary,anchor_H,28303,66.0,100.0,100.0,100.0,100.0,1.971981768717097,0.0,58.0,0.06960392891212945,0.04115677438591087,4.309626623881071e-12,0.01036335620365495,0.08125529005384487,100.0,
low_high_comparison,low_quality_bottom20_threshold,45653,65.0,96.0,100.0,100.0,100.0,6.707708146233545,0.0,56.0,0.06085032747026482,,,,,100.0,rank_percentile_due_to_q20_tie_at_max
low_high_comparison,high_quality_top80_threshold,182612,100.0,100.0,100.0,100.0,100.0,3.182770026066195,0.0,51.0,0.05119597835848685,,,,,100.0,rank_percentile_due_to_q20_tie_at_max
imperfect_vs_perfect,imperfect_quality_lt100,11673,65.0,78.0,91.0,96.0,96.0,13.221708215540135,1.0,103.39999999999964,0.09971729632485223,,,,,100.0,saturation_diagnostic
imperfect_vs_perfect,perfect_quality_eq100,216592,100.0,100.0,100.0,100.0,100.0,3.3847141168648887,0.0,51.0,0.050615904557878406,,,,,100.0,saturation_diagnostic
