version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T1+F0,external_position_filter,all8,24,ABEF,6,136.11030182815978,365.4133146720731,208.8665196203206
v1-old,T1+F0,external_position_filter,all8,24,ADHE,6,189.90678009643156,225.25076348373366,187.52781262885958
v1-old,T1+F0,external_position_filter,all8,24,BCGF,6,129.3656434919483,303.92503692849357,187.24732339755167
v1-old,T1+F0,external_position_filter,all8,24,CDHG,6,155.78200852207226,287.8361443381592,192.08623058326012
v1-old,T1+F0,external_position_filter,noG,24,ABEF,6,125.139312695005,376.34569483435314,213.58308587608568
v1-old,T1+F0,external_position_filter,noG,24,ADHE,6,182.5738595256334,296.70897636436746,206.62213933601714
v1-old,T1+F0,external_position_filter,noG,24,BCGF,6,164.40475720831148,343.8519489078015,211.01371179244356
v1-old,T1+F0,external_position_filter,noG,24,CDHG,6,139.92718673236328,265.2242827875304,171.73040419164732
v1-old,T1+F1,external_position_filter,all8,24,ABEF,6,140.64495138953498,361.35910229979396,206.96366165076148
v1-old,T1+F1,external_position_filter,all8,24,ADHE,6,188.7519017860178,223.65661115613375,186.4872738104962
v1-old,T1+F1,external_position_filter,all8,24,BCGF,6,131.58763424999148,301.42261586534096,186.23575096457247
v1-old,T1+F1,external_position_filter,all8,24,CDHG,6,157.66342859562104,273.6409311875077,187.4342381075193
v1-old,T1+F1,external_position_filter,noG,24,ABEF,6,125.33509347095085,370.76670681155866,211.86959242947373
v1-old,T1+F1,external_position_filter,noG,24,ADHE,6,182.11677682813655,293.2256289819588,204.99299591511712
v1-old,T1+F1,external_position_filter,noG,24,BCGF,6,169.08884659072936,340.58868859752823,210.82910627787635
v1-old,T1+F1,external_position_filter,noG,24,CDHG,6,145.55195298263305,253.65284263433804,168.32575234514871
v1-old,T1+F2,external_position_filter,all8,24,ABEF,6,140.64495138953498,361.35910229979396,206.96366165076148
v1-old,T1+F2,external_position_filter,all8,24,ADHE,6,188.7519017860178,223.65829806440496,186.48860505653604
v1-old,T1+F2,external_position_filter,all8,24,BCGF,6,131.58763424999148,301.42261586534096,186.23575096457247
v1-old,T1+F2,external_position_filter,all8,24,CDHG,6,157.66342859562104,273.6409311875077,187.4342381075193
v1-old,T1+F2,external_position_filter,noG,24,ABEF,6,125.33509347095085,370.76670681155866,211.86959242947373
v1-old,T1+F2,external_position_filter,noG,24,ADHE,6,182.11677682813655,293.44057991096827,205.0673886604703
v1-old,T1+F2,external_position_filter,noG,24,BCGF,6,169.08884659072936,340.58868859752823,210.82910627787635
v1-old,T1+F2,external_position_filter,noG,24,CDHG,6,145.5601014571996,253.65284263433804,168.32755913168327
v1-old,T1+F3,external_position_filter,all8,24,ABEF,6,139.36187667900296,361.77634311054226,207.0145203144798
v1-old,T1+F3,external_position_filter,all8,24,ADHE,6,189.15906151207122,223.17571020402067,186.45801550541267
v1-old,T1+F3,external_position_filter,all8,24,BCGF,6,131.3494530609478,301.7860119019871,186.41176283798976
