pair,master_a,master_b,median_master_a_mm,median_master_b_mm,asym_a_minus_b_mm,abs_asym_mm,involves_G
A-B,A,B,2898.0,2892.0,6.0,6.0,False
A-C,A,C,3713.0,3722.0,-9.0,9.0,False
A-D,A,D,2427.0,2431.0,-4.0,4.0,False
A-E,A,E,1546.0,1554.0,-8.0,8.0,False
A-F,A,F,3325.0,3319.0,6.0,6.0,False
A-G,A,G,4017.0,4023.5,-6.5,6.5,True
A-H,A,H,2679.0,2696.0,-17.0,17.0,False
B-C,B,C,2402.0,2411.0,-9.0,9.0,False
B-D,B,D,3666.5,3673.0,-6.5,6.5,False
B-E,B,E,3127.0,3143.0,-16.0,16.0,False
B-F,B,F,1621.0,1618.0,3.0,3.0,False
B-G,B,G,2743.0,2748.0,-5.0,5.0,True
B-H,B,H,3896.0,3905.0,-9.0,9.0,False
C-D,C,D,2892.0,2883.5,8.5,8.5,False
C-E,C,E,3893.0,3878.0,15.0,15.0,False
C-F,C,F,2681.0,2663.0,18.0,18.0,False
C-G,C,G,1621.5,1615.0,6.5,6.5,True
C-H,C,H,3342.0,3351.0,-9.0,9.0,False
D-E,D,E,2791.0,2794.0,-3.0,3.0,False
D-F,D,F,3862.0,3840.0,22.0,22.0,False
D-G,D,G,3164.0,3157.0,7.0,7.0,True
D-H,D,H,1662.0,1657.0,5.0,5.0,False
E-F,E,F,2772.0,2752.0,20.0,20.0,False
E-G,E,G,3714.0,3709.0,5.0,5.0,True
E-H,E,H,2337.0,2330.0,7.0,7.0,False
F-G,F,G,2372.0,2376.0,-4.0,4.0,True
F-H,F,H,3654.0,3663.0,-9.0,9.0,False
G-H,G,H,2880.0,2880.0,0.0,0.0,True
