layout,tag_method,kind,keep_k,drop_category,dropped_lower_count,dropped_upper_count,drop_sets,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v1-old,T1,static,7,lower_heavy,1,0,4,75.83458518981934,77.20437374114991,49.81949710845947,90.52703666687012
v1-old,T1,static,7,upper_heavy,0,1,4,61.15741157531738,72.0394639968872,45.32997417449951,89.8840913772583
v1-old,T1,static,6,balanced,1,1,16,79.13515663146973,104.20608425140381,50.69827938079834,80.76008224487305
v1-old,T1,static,6,lower_heavy,2,0,6,90.25101280212402,98.25145626068115,65.23343086242676,81.66280460357666
v1-old,T1,static,6,upper_heavy,0,2,6,71.12566375732422,79.79432106018066,45.11167621612549,78.62301635742188
v1-old,T1,static,5,lower_heavy,2,1,24,103.42834663391113,143.1926162719726,69.03317642211914,64.49600791931152
v1-old,T1,static,5,lower_heavy,3,0,4,116.52327919006348,130.92548809051513,75.54376220703125,61.92817497253418
v1-old,T1,static,5,upper_heavy,0,3,4,72.64940643310547,78.36820735931397,37.794450759887695,75.3656587600708
v1-old,T1,static,5,upper_heavy,1,2,24,77.78024864196777,107.26733760833739,52.213011741638184,66.82222843170166
v1-old,T1,static,4,balanced,2,2,36,113.64895248413086,164.32206535339355,67.57179546356201,40.25197744369507
v1-old,T1,static,4,lower_heavy,3,1,16,125.99477195739746,176.7571201324463,85.94619941711426,36.8640513420105
v1-old,T1,static,4,lower_heavy,4,0,1,139.9360122680664,139.9360122680664,80.85947036743164,24.71824026107788
v1-old,T1,static,4,upper_heavy,0,4,1,45.79916954040527,45.79916954040527,27.52556610107422,45.80778694152832
v1-old,T1,static,4,upper_heavy,1,3,16,68.42523193359375,103.50313472747803,38.62272262573242,33.78754949569702
v1-old,T2,static,7,lower_heavy,1,0,4,75.84855079650879,78.62957572937012,49.71661949157715,90.59489059448242
v1-old,T2,static,7,upper_heavy,0,1,4,61.519951820373535,74.52370271682739,45.369465827941895,89.91598224639893
v1-old,T2,static,6,balanced,1,1,16,79.03528022766113,102.79729652404785,50.950660705566406,80.74184226989746
v1-old,T2,static,6,lower_heavy,2,0,6,90.82231140136719,99.35283756256104,67.8415117263794,81.84110641479492
v1-old,T2,static,6,upper_heavy,0,2,6,71.60684013366699,80.20488929748535,45.0332555770874,78.63677787780762
v1-old,T2,static,5,lower_heavy,2,1,24,103.72406005859375,143.64341812133785,69.12911224365234,64.4599962234497
