version,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,all8,A_tag_cloud_fit_WRONG_circular,24,148.06685367425132,330.90709353611527,188.9128212462841,49.815806303555476,134.93271728670632,,,,,-1.0000000000000002,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v1-old,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,301.5393035579059,1625.8042178538426,601.9580399209282,2262.0781737780208,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v1-old,all8,C_anchor_locked_OFFICIAL,24,160.01125176029518,314.7898277297456,191.64129425669003,51.58533171490822,141.4729439113985,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,noG,A_tag_cloud_fit_WRONG_circular,24,148.06685367425132,330.90709353611527,188.9128212462841,49.815806303555476,134.93271728670632,,,,,-1.0000000000000002,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v1-old,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,301.5393035579059,1625.8042178538426,601.9580399209282,2262.0781737780208,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v1-old,noG,C_anchor_locked_OFFICIAL,24,154.4719914176559,330.0981647547857,191.98693210157646,51.109812136212,140.79877232037643,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,all8,A_tag_cloud_fit_WRONG_circular,24,77.91964144158416,228.06765382598326,129.8635087069716,43.49960053741695,59.73165022297553,,,,,-0.9999999999999987,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,253.42145096803566,1562.386924782456,557.4397136130408,2186.9741796627536,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v2,all8,C_anchor_locked_OFFICIAL,24,81.4935030164423,233.1077736825216,132.08905070793008,42.6274901098004,68.19865499121693,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,noG,A_tag_cloud_fit_WRONG_circular,24,77.91964144158416,228.06765382598326,129.8635087069716,43.49960053741695,59.73165022297553,,,,,-0.9999999999999987,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v2,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,253.42145096803566,1562.386924782456,557.4397136130408,2186.9741796627536,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v2,noG,C_anchor_locked_OFFICIAL,24,80.52362848738147,242.8614195826897,133.98961108447776,46.73105049851755,69.65140336712068,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-full,all8,A_tag_cloud_fit_WRONG_circular,24,112.35145959109565,269.74449192605067,154.9464017555124,48.14329357934193,109.89126013794248,,,,,-0.9999999999999996,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-full,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,281.29939435766585,1579.4492633335346,612.474612539483,2237.1259764343317,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-full,all8,C_anchor_locked_OFFICIAL,24,121.05623396766207,280.07350104562715,158.98876953960595,51.27212549299621,103.99736096295487,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-full,noG,A_tag_cloud_fit_WRONG_circular,24,112.35145959109565,269.74449192605067,154.9464017555124,48.14329357934193,109.89126013794248,,,,,-0.9999999999999996,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-full,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,281.29939435766585,1579.4492633335346,612.474612539483,2237.1259764343317,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-full,noG,C_anchor_locked_OFFICIAL,24,116.44288510671994,290.3576587721954,159.59124608749204,45.80150275356009,109.09780472186777,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-lite,all8,A_tag_cloud_fit_WRONG_circular,24,78.28689071022613,228.2226161538543,130.01090895785717,43.72840545153679,60.18209024836324,,,,,-1.0000000000000002,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-lite,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,253.70638982957405,1562.3802284696228,557.7228025006812,2187.089205863417,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-lite,all8,C_anchor_locked_OFFICIAL,24,81.69195758364086,233.52603084957047,132.2884567270874,42.845757386222786,68.7795729784018,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-lite,noG,A_tag_cloud_fit_WRONG_circular,24,78.28689071022613,228.2226161538543,130.01090895785717,43.72840545153679,60.18209024836324,,,,,-1.0000000000000002,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-lite,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,253.70638982957405,1562.3802284696228,557.7228025006812,2187.089205863417,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-lite,noG,C_anchor_locked_OFFICIAL,24,81.05486502037172,243.16956277216732,134.21599189429168,47.14008395777371,70.1547124287614,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v4-io,all8,A_tag_cloud_fit_WRONG_circular,24,78.86962271063821,266.06913588669795,134.00946555679008,41.58295526328945,62.8200506906511,,,,,-0.9999999999999991,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,239.4395353769284,1568.932202342401,555.758095030561,2201.485171965708,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,all8,C_anchor_locked_OFFICIAL,24,77.38103805352323,270.2552828594085,136.5028285215412,42.129657905593746,63.12141492353817,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v4-io,noG,A_tag_cloud_fit_WRONG_circular,24,78.86962271063821,266.06913588669795,134.00946555679008,41.58295526328945,62.8200506906511,,,,,-0.9999999999999991,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,239.4395353769284,1568.932202342401,555.758095030561,2201.485171965708,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,noG,C_anchor_locked_OFFICIAL,24,81.26715583122163,278.60151085532175,139.36634127662984,44.68738939154977,63.511665128956565,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
