version,solver,solver_family,eval_set,metric,point_mm,ci_low_mm,ci_high_mm,n_positions,n_boot,seed,source
v1-old,T1+F0,external_position_filter,all8,median_3d,168.05845066119994,99.5892391087101,215.2669484804159,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,all8,p95_3d,316.4688053772768,227.05129332893225,422.1582776789061,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,all8,rms_3d,194.1330623740474,151.64348835374378,234.80759526139477,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,all8,repeat_d3_std_median,63.037464879098266,57.010619836616094,70.3688754102621,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,all8,vertical_abs_p95,306.28572767828206,225.0529598067611,421.1256601233854,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,all8,horizontal_median,53.85169063519905,29.509147708181352,72.38252810598603,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,noG,median_3d,159.572282272343,116.94909059849432,196.63394875563728,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,noG,p95_3d,382.5293076989335,210.49129852800263,431.63049360313664,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,noG,rms_3d,201.4500938969717,155.92880512944316,246.46232076769493,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F0,external_position_filter,noG,repeat_d3_std_median,57.93613241797685,51.41599756132953,71.1831695949944,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
