mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
all8,ABEF,high,2,0.7438976466655731,0.7796447604894639,1.1152216792106628,106.63362100495875,91.7985012489592
all8,ABEF,low,2,0.7528983652591705,0.7709346920251846,1.115598976612091,113.40754186680162,92.12530703146321
all8,ABEF,mid,2,0.9062274098396301,0.9070154964923859,1.1999401450157166,115.40944847510812,93.6684707188454
all8,ADHE,high,2,0.7850055694580078,0.7980647087097168,1.1250595450401306,104.66248926254788,91.96502914238135
all8,ADHE,low,2,0.741774320602417,0.7540349125862121,1.1042660474777222,137.55633401300634,91.09075770191507
all8,ADHE,mid,2,0.8795439004898071,0.9004629850387573,1.176977276802063,77.7054933473849,90.7993338884263
all8,BCGF,high,2,0.7718456983566284,0.8093397617340088,1.1188451051712036,109.62870113291399,92.75603663613657
all8,BCGF,low,2,0.729165643453598,0.7698152452707291,1.1022953987121582,91.98003244102073,93.37461345459269
all8,BCGF,mid,2,0.8785611987113953,0.9041271030902862,1.1765613555908203,82.58665185358097,91.7116985845129
all8,CDHG,high,2,0.7948657870292664,0.8183284103870392,1.1373473405838013,115.29532142575104,93.58867610324731
all8,CDHG,low,2,0.7409940958023071,0.7431488752365112,1.111361801624298,179.82700603813663,90.3413821815154
all8,CDHG,mid,2,0.9012159407138824,0.9072056621313095,1.1972628235816956,120.72604325592548,92.9225645295587
dropH,ABEF,high,2,0.744135171175003,0.7800960034132004,1.1949273347854614,106.63362100495875,91.7985012489592
dropH,ABEF,low,2,0.8942317962646484,0.9377253711223602,1.2578235268592834,113.40754186680162,92.12530703146321
dropH,ABEF,mid,2,0.9685709476470947,0.9689771413803101,1.301403284072876,115.40944847510812,93.6684707188454
dropH,ADHE,high,2,0.7867974936962128,0.7998295158147812,1.1915954947471619,104.66248926254788,91.96502914238135
dropH,ADHE,low,2,0.9699239134788513,1.044434016942978,1.3093402981758118,137.55633401300634,91.09075770191507
dropH,ADHE,mid,2,0.9487959742546082,0.9542323291301728,1.2795488238334656,77.7054933473849,90.7993338884263
dropH,BCGF,high,2,0.773863822221756,0.8127831846475602,1.182969331741333,109.62870113291399,92.75603663613657
dropH,BCGF,low,2,0.8293415307998657,0.9024155259132385,1.2106199860572815,91.98003244102073,93.37461345459269
dropH,BCGF,mid,2,0.9256433546543121,0.9636442214250565,1.2613673210144043,82.58665185358097,91.7116985845129
dropH,CDHG,high,2,0.7954789400100708,0.8194796681404114,1.1935158967971802,115.29532142575104,93.58867610324731
dropH,CDHG,low,2,0.8841439187526703,0.8980773776769638,1.2506112456321716,179.82700603813663,90.3413821815154
dropH,CDHG,mid,2,0.9627728462219238,0.97164586186409,1.2848885655403137,120.72604325592548,92.9225645295587
noG,ABEF,high,2,0.743971973657608,0.7797118991613388,1.1957796216011047,106.63362100495875,91.7985012489592
noG,ABEF,low,2,0.8590614795684814,0.9000689148902893,1.233385145664215,113.40754186680162,92.12530703146321
noG,ABEF,mid,2,0.96153524518013,0.9639110654592514,1.3007497191429138,115.40944847510812,93.6684707188454
noG,ADHE,high,2,0.7860957384109497,0.7989692151546478,1.1930910348892212,104.66248926254788,91.96502914238135
noG,ADHE,low,2,0.8447228670120239,0.8630383312702179,1.2192713618278503,137.55633401300634,91.09075770191507
noG,ADHE,mid,2,0.9161296188831329,0.946536186337471,1.258114218711853,77.7054933473849,90.7993338884263
noG,BCGF,high,2,0.7760029137134552,0.8116023987531662,1.1971588730812073,109.62870113291399,92.75603663613657
noG,BCGF,low,2,0.8652669489383698,0.8844650477170944,1.2413074374198914,91.98003244102073,93.37461345459269
noG,BCGF,mid,2,0.9446246325969696,0.961096265912056,1.2820302248001099,82.58665185358097,91.7116985845129
noG,CDHG,high,2,0.7949093580245972,0.8183849632740021,1.194327473640442,115.29532142575104,93.58867610324731
noG,CDHG,low,2,0.929440438747406,0.9684420108795166,1.292383849620819,179.82700603813663,90.3413821815154
noG,CDHG,mid,2,0.95840123295784,0.9626712292432785,1.285576045513153,120.72604325592548,92.9225645295587
