version,eval_set,n,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,median_distance_to_array_centroid_mm,median_scale_bias_expected_mm
v1-old,all8,24,167.61947011305455,314.7898277297456,193.3867034356742,54.79208131515114,144.46928725592045,757.0490971914554,32.5974983494774
v1-old,noG,24,154.4719914176559,330.0981647547857,193.74951077258547,54.11183200532281,140.79877232037643,775.5184217006727,34.061913754592055
v2,all8,24,81.49350301644225,233.1077736825216,133.96674094728743,45.45349815277515,68.19865499121704,757.0490971914554,45.00191646471829
v2,noG,24,80.52362848738136,242.86141958268962,135.8765778549224,47.926446584823935,69.65140336712057,775.5184217006727,47.98679683325369
v3-full,all8,24,123.14943261216368,280.0735010456271,160.7230410152141,52.303651242551744,109.95413969362468,757.0490971914554,25.740620928287015
v3-full,noG,24,123.79109214688988,290.3576587721954,161.33300931314503,46.8366549613848,113.70715882443719,775.5184217006727,29.05807030457591
v3-lite,all8,24,81.69195758364084,233.52603084957047,134.15942229161587,45.12422712208475,68.7795729784018,757.0490971914554,44.96198738811104
v3-lite,noG,24,81.05486502037178,243.1695627721673,136.0960065039072,48.396324081000444,70.15471242876163,775.5184217006727,47.89472586919992
v4-io,all8,24,77.38103805352323,270.2552828594085,138.25022123614812,43.830696817704755,63.12141492353828,757.0490971914554,29.965280112685775
v4-io,noG,24,81.26715583122152,278.60151085532175,141.12478883614088,46.874989963989805,63.51166512895645,775.5184217006727,31.22154632101148
