capture,opti_tilt_deg,rigid_vertY_mm,sim3_vertY_mm
baseline_no_roto,,68.8,31.1
roto_R01,1.0,83.7,38.2
roto_R05,21.2,95.9,42.9
roto_R02,22.0,64.7,27.4
roto_R04,22.0,70.9,31.8
roto_R03,22.7,75.8,41.6
roto_R09,47.2,74.7,35.7
roto_R06,47.8,91.8,40.8
roto_R08,47.9,77.5,35.7
roto_R07,48.3,80.3,40.1
roto_R13,72.0,72.8,34.6
roto_R10,72.1,59.3,24.4
roto_R12,72.1,86.3,44.5
roto_R11,72.7,71.3,36.6
roto_R14,89.4,91.6,47.1
roto_R16,89.8,81.6,37.5
roto_R17,89.9,87.5,40.7
all_roto,,63.4,30.2
