host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,0,2280,2280,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,1,2606,2606,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,2,2115,2115,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,3,2147,2147,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,4,1991,1991,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,5,2191,2191,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,6,2039,2039,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.002418,1779966065.806646,3698,,BS2DCE,,f,0,7,2032,2032,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,0,2383,2383,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,1,2424,2424,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,2,2016,2016,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,3,2009,2009,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,4,2072,2072,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,5,2337,2337,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,6,2107,2107,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.10811,1779966065.912338,3699,,BS2DCE,,f,0,7,1925,1925,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,0,2609,2609,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,1,2507,2507,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,2,1925,1925,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,3,2028,2028,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,4,2224,2224,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,5,2002,2002,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,6,2147,2147,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.20611,1779966066.010338,3700,,BS2DCE,,f,0,7,1781,1781,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,0,2431,2431,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,1,2422,2422,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,2,1998,1998,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,3,1904,1904,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,4,2186,2186,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,5,2209,2209,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.310129,1779966066.114357,3701,,BS2DCE,,f,0,6,2192,2192,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
