host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
0.062635,1779967793.775428,13908,,BSDC91,,f,0,0,2642,2642,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,1,2218,2218,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,2,1527,1527,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,3,1906,1906,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,4,2451,2451,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,5,2210,2210,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,6,1525,1525,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.062635,1779967793.775428,13908,,BSDC91,,f,0,7,1780,1780,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,0,2607,2607,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,1,2238,2238,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,2,1455,1455,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,3,1908,1908,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,4,2531,2531,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,5,2155,2155,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,6,1564,1564,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.167577,1779967793.88037,13909,,BSDC91,,f,0,7,1908,1908,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.264885,1779967793.977678,13910,,BSDC91,,f,0,0,2579,2579,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.264885,1779967793.977678,13910,,BSDC91,,f,0,1,2144,2144,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.264885,1779967793.977678,13910,,BSDC91,,f,0,2,1410,1410,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.264885,1779967793.977678,13910,,BSDC91,,f,0,3,1940,1940,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
