mode,position,frames_input,frames_solved,d3_std_mm,residual_rms_median_mm
sweep_delta_i_only,ID01,1201,1201,60.987558685431296,84.21750013907295
sweep_delta_i_only,ID02,1201,1201,58.33454593508991,76.83462502944442
sweep_delta_i_only,ID03,1201,1201,85.5535193126577,144.06478941861528
sweep_delta_i_only,ID04,1201,1201,62.250921767091256,78.58665869444452
sweep_delta_i_only,ID05,1200,1200,87.60034496465921,165.72536253219954
sweep_delta_i_only,ID06,1201,1201,78.53979671365217,95.2985573784337
sweep_delta_i_only,ID07,1201,1201,87.64599317368481,85.08663993338708
sweep_delta_i_only,ID08,1201,1201,79.47214585393695,123.12191105598207
sweep_delta_i_only,ID09,1201,1201,85.57350346186772,139.70529361894842
sweep_delta_i_only,ID10,1201,1201,47.2269459182005,67.73720407089226
sweep_delta_i_only,ID11,1201,1201,51.768141676111306,93.91475531429647
sweep_delta_i_only,ID12,1201,1201,42.72047257465913,76.519370367713
sweep_delta_i_only,ID13,1200,1200,85.3965043924763,75.57150480501627
sweep_delta_i_only,ID14,1201,1201,62.18066214517234,62.30724807433499
sweep_delta_i_only,ID15,1201,1201,54.77166925353016,74.28359554523848
sweep_delta_i_only,ID16,1201,1201,83.90013004729512,79.9326838588028
sweep_delta_i_only,ID17,1199,1199,73.96920096360519,69.03560196656315
sweep_delta_i_only,ID18,1199,1199,42.947751750183365,41.34668973827996
sweep_delta_i_only,ID19,1201,1201,107.81182380886709,177.73639978481935
sweep_delta_i_only,ID20,1201,1201,74.19160639292113,114.01904410023651
sweep_delta_i_only,ID21,1201,1201,54.13137187282915,115.49510137238983
sweep_delta_i_only,ID22,1201,1201,38.87316699060514,130.92408920888613
sweep_delta_i_only,ID23,1201,1201,75.61053365619131,87.74416931802584
sweep_delta_i_only,ID24,1201,1201,78.64233722158174,160.48784504098273
sweep_delta_i_plus_additive_only_delta_tag,ID01,1201,1201,50.0298945921325,96.48634932259978
sweep_delta_i_plus_additive_only_delta_tag,ID02,1201,1201,77.681083184468,73.7442814343119
sweep_delta_i_plus_additive_only_delta_tag,ID03,1201,1201,76.03356207138947,150.71059475640712
sweep_delta_i_plus_additive_only_delta_tag,ID04,1201,1201,74.4711044884111,88.75095847861517
sweep_delta_i_plus_additive_only_delta_tag,ID05,1200,1200,66.10940585738261,141.35502557687812
sweep_delta_i_plus_additive_only_delta_tag,ID06,1201,1201,64.51671731458123,76.14435066158653
sweep_delta_i_plus_additive_only_delta_tag,ID07,1201,1201,79.41358503983345,116.00553570615803
sweep_delta_i_plus_additive_only_delta_tag,ID08,1201,1201,68.7361597959157,111.82467151805321
sweep_delta_i_plus_additive_only_delta_tag,ID09,1201,1201,60.050012294253044,129.57492885935557
sweep_delta_i_plus_additive_only_delta_tag,ID10,1201,1201,44.98754875550867,65.97799030471262
sweep_delta_i_plus_additive_only_delta_tag,ID11,1201,1201,32.05369713993451,40.385821495536824
sweep_delta_i_plus_additive_only_delta_tag,ID12,1201,1201,42.32955291919144,65.92008395620334
sweep_delta_i_plus_additive_only_delta_tag,ID13,1200,1200,70.92420621421843,62.983923748169865
sweep_delta_i_plus_additive_only_delta_tag,ID14,1201,1201,50.62413600309054,65.69182474558723
