position,fit,train_links,delta_tag_mm,rho_percent,train_rms_mm,anchor_delta_min_mm,anchor_delta_max_mm
ID01,additive_only,184,146.19103775719037,nan,99.67993172011285,84.00314381453845,317.49039139595175
ID01,joint_distance_rho,184,-171.38938535073328,8.0523571606129,95.4707734089193,81.26243116764786,316.57093531446503
ID02,additive_only,184,148.58805421322126,nan,100.22874905508046,76.3225650658991,313.7564901472116
ID02,joint_distance_rho,184,-157.7780664182711,7.746452511622337,96.24841979374649,72.28814576727592,316.04378327468606
ID03,additive_only,184,142.304920191119,nan,95.31719505856275,82.87172696422925,318.1331528957537
ID03,joint_distance_rho,184,-138.39189607457826,7.11333773540872,91.85093569398593,78.19090603857477,321.5399272759182
ID04,additive_only,184,142.04350046304495,nan,98.39364596834925,69.10270809797717,315.9073871856337
ID04,joint_distance_rho,184,-179.41406784181555,8.157136395988118,94.28609576343419,68.92212841663148,320.99173408219957
ID05,additive_only,184,142.44937634921507,nan,95.6606063724839,78.31218372294165,279.6643773172692
ID05,joint_distance_rho,184,-146.7498776931585,7.317683348136761,92.15987741336562,76.31700586116602,286.3075670081092
ID06,additive_only,184,143.3870839105358,nan,99.69829709854271,81.31049875370644,306.1003143335253
ID06,joint_distance_rho,184,-181.4956015250669,8.242506894729473,95.50814070045666,77.83337081600361,314.5754154211029
ID07,additive_only,184,146.0435978259041,nan,98.813734366075,74.86177555677355,317.62412986988295
ID07,joint_distance_rho,184,-150.6654769280035,7.523300990959925,95.18464351231025,71.0667346843773,322.32562431867666
ID08,additive_only,184,145.0578827238916,nan,98.05397326934143,83.2166939590234,315.4321692443181
ID08,joint_distance_rho,184,-157.87962503108545,7.662913464883303,94.14189930814047,76.34032899182242,321.6659028821999
ID09,additive_only,184,145.00355707956436,nan,99.04727847608325,76.12322055936987,320.115743249994
ID09,joint_distance_rho,184,-178.00927653471214,8.186076286046173,94.67888185840253,67.65661182986332,327.6967911064903
ID10,additive_only,184,144.42676742658378,nan,100.13712977658315,72.57853716523252,317.46827377971283
ID10,joint_distance_rho,184,-173.131697185561,8.055623193294181,96.24749376353556,65.24013593030227,316.2467662136952
ID11,additive_only,184,144.6324914240805,nan,100.48761580413691,77.0799212510364,313.6431472114876
ID11,joint_distance_rho,184,-191.03262305829023,8.495870918487292,96.05933280747045,66.68747403245523,314.35795856520315
ID12,additive_only,184,145.15334775281508,nan,99.71218327696484,84.53247781113059,306.6943537002078
ID12,joint_distance_rho,184,-177.52223079048133,8.182968052992123,95.63605927623816,73.09666664242319,309.0262907372094
ID13,additive_only,184,147.87685974213457,nan,100.56165976585073,77.92361364329652,314.1642829452592
ID13,joint_distance_rho,184,-156.01518693079709,7.679074682688025,96.60136432077914,72.68085653093081,317.9812827651637
ID14,additive_only,184,149.10846195698537,nan,100.3289942843871,73.81374160825669,308.2574834720331
ID14,joint_distance_rho,184,-152.96032010340636,7.632945999712781,96.40781850845688,68.67042105339651,312.02216288672236
ID15,additive_only,184,148.83780908158298,nan,100.38029761978744,78.03990549928467,317.7448270044216
ID15,joint_distance_rho,184,-153.74550784741785,7.645960329086066,96.4478486858105,72.94375322181696,321.56191373559386
ID16,additive_only,184,147.06667658906622,nan,100.71226091981669,76.40328015068155,309.71375222788333
ID16,joint_distance_rho,184,-157.16663442290277,7.687433410372968,96.74889897464602,71.233469832474,313.56879105870877
ID17,additive_only,184,149.60115290055026,nan,99.74393650896661,80.1778231693488,315.3892282222606
ID17,joint_distance_rho,184,-153.04508803772416,7.666517010662766,95.85831172776918,76.49309874354915,316.28395545628035
ID18,additive_only,184,149.6154101522273,nan,99.94134239970424,73.38979072749711,320.1533684029157
ID18,joint_distance_rho,184,-159.6853714099253,7.835805960977638,95.88556564358785,70.43411227556862,321.2299353509943
ID19,additive_only,184,142.7890001653928,nan,92.87765572260736,86.94962481581935,317.44952579513733
ID19,joint_distance_rho,184,-127.59827833669618,6.849482840148546,89.54965678191711,84.4296480573338,319.2938540378285
ID20,additive_only,184,145.53657738046778,nan,97.9745609681505,64.14686815981302,315.9454421800514
ID20,joint_distance_rho,184,-148.11485472789704,7.438644735136535,94.24732232354938,60.6623454117684,317.75648157118223
ID21,additive_only,184,145.60116022820617,nan,99.33429190603613,80.7219377412292,317.4602241687412
ID21,joint_distance_rho,184,-153.33615091218945,7.569000086278876,95.48834927919552,74.48845721006475,322.10958553089284
ID22,additive_only,184,145.20685146116762,nan,98.45920501860121,80.27207272428026,288.9554839691143
ID22,joint_distance_rho,184,-158.30208388449512,7.684915548277971,94.4572491303323,73.99208949124872,293.5804575743152
ID23,additive_only,184,144.8464099913715,nan,99.30811350108843,81.52657741430691,319.0431713242783
ID23,joint_distance_rho,184,-157.15332281815915,7.646698815256769,95.38151466910658,75.32637615937576,323.7042135991578
ID24,additive_only,184,142.10994052630875,nan,94.76429107146292,82.02355498088491,309.6191174671421
ID24,joint_distance_rho,184,-147.63086282632443,7.336224239255529,90.97509772552478,76.00948716363223,314.1140248097994
