position,delta_tag_mm,train_rms_mm,train_links,additive_min_mm,additive_max_mm
ID01,146.19103775719037,99.67993172011285,184,115.09709078586441,231.84071457657106
ID02,148.58805421322126,100.22874905508046,184,112.45530963956017,231.17227218021642
ID03,142.304920191119,95.31719505856275,184,112.58832357767413,230.21903654343635
ID04,142.04350046304495,98.39364596834925,184,105.57310428051106,228.97544382433932
ID05,142.44937634921507,95.6606063724839,184,110.38078003607836,211.05687683324214
ID06,143.3870839105358,99.69829709854271,184,112.34879133212112,224.74369912203056
ID07,146.0435978259041,98.813734366075,184,110.45268669133883,231.83386384789353
ID08,145.0578827238916,98.05397326934143,184,114.13728834145749,230.24502598410487
ID09,145.00355707956436,99.04727847608325,184,110.56338881946712,232.55965016477919
ID10,144.42676742658378,100.13712977658315,184,108.50265229590815,230.9475206031483
ID11,144.6324914240805,100.48761580413691,184,110.85620633755846,229.13781931778405
ID12,145.15334775281508,99.71218327696484,184,114.84291278197284,225.92385072651143
ID13,147.87685974213457,100.56165976585073,184,112.90023669271554,231.02057134369687
ID14,149.10846195698537,100.3289942843871,184,111.46110178262103,228.68297271450922
ID15,148.83780908158298,100.38029761978744,184,113.43885729043382,233.2913180430023
ID16,147.06667658906622,100.71226091981669,184,111.73497836987389,228.39021440847478
ID17,149.60115290055026,99.74393650896661,184,114.88948803494952,232.49519056140542
ID18,149.6154101522273,99.94134239970424,184,111.5026004398622,234.8843892775715
ID19,142.7890001653928,92.87765572260736,184,114.86931249060606,230.11926298026506
ID20,145.53657738046778,97.9745609681505,184,104.8417227701404,230.74100978025956
ID21,145.60116022820617,99.33429190603613,184,113.16154898471768,231.53069219847367
ID22,145.20685146116762,98.45920501860121,184,112.73946209272394,217.08116771514096
ID23,144.8464099913715,99.30811350108843,184,113.18649370283921,231.9447906578249
ID24,142.10994052630875,94.76429107146292,184,112.06674775359683,225.86452899672543
