mode,position,oracle_dropped,selector_dominant_dropped,false_dropped,missed_oracle_drop,false_drop_count,miss_count
B1_session_t2_g1.5,ID01,"C,G",,,"C,G",0,2
B1_session_t2_g1.5,ID02,"C,D",,,"C,D",0,2
B1_session_t2_g1.5,ID03,"D,G",,,"D,G",0,2
B1_session_t2_g1.5,ID04,"C,F",,,"C,F",0,2
B1_session_t2_g1.5,ID05,"A,H",,,"A,H",0,2
B1_session_t2_g1.5,ID06,"E,H",,,"E,H",0,2
B1_session_t2_g1.5,ID07,"B,G",,,"B,G",0,2
B1_session_t2_g1.5,ID08,"B,D",,,"B,D",0,2
B1_session_t2_g1.5,ID09,,,,,0,0
B1_session_t2_g1.5,ID10,"C,F",,,"C,F",0,2
B1_session_t2_g1.5,ID11,B,,,B,0,1
B1_session_t2_g1.5,ID12,"G,H",,,"G,H",0,2
B1_session_t2_g1.5,ID13,"B,C",,,"B,C",0,2
B1_session_t2_g1.5,ID14,"B,D",,,"B,D",0,2
B1_session_t2_g1.5,ID15,"A,C",,,"A,C",0,2
B1_session_t2_g1.5,ID16,"B,F",,,"B,F",0,2
B1_session_t2_g1.5,ID17,"B,H",,,"B,H",0,2
B1_session_t2_g1.5,ID18,"C,E",,,"C,E",0,2
B1_session_t2_g1.5,ID19,"B,D",,,"B,D",0,2
B1_session_t2_g1.5,ID20,D,,,D,0,1
B1_session_t2_g1.5,ID21,,,,,0,0
B1_session_t2_g1.5,ID22,D,,,D,0,1
B1_session_t2_g1.5,ID23,D,,,D,0,1
B1_session_t2_g1.5,ID24,"F,H",C,C,"F,H",1,2
B2_frame_greedy_tau4_t2_g1.5,ID01,"C,G",A,A,"C,G",1,2
B2_frame_greedy_tau4_t2_g1.5,ID02,"C,D",,,"C,D",0,2
B2_frame_greedy_tau4_t2_g1.5,ID03,"D,G",,,"D,G",0,2
B2_frame_greedy_tau4_t2_g1.5,ID04,"C,F",F,,C,0,1
B2_frame_greedy_tau4_t2_g1.5,ID05,"A,H","A,G",G,H,1,1
B2_frame_greedy_tau4_t2_g1.5,ID06,"E,H",C,C,"E,H",1,2
B2_frame_greedy_tau4_t2_g1.5,ID07,"B,G",,,"B,G",0,2
B2_frame_greedy_tau4_t2_g1.5,ID08,"B,D","B,C",C,D,1,1
B2_frame_greedy_tau4_t2_g1.5,ID09,,,,,0,0
B2_frame_greedy_tau4_t2_g1.5,ID10,"C,F","F,G",G,C,1,1
B2_frame_greedy_tau4_t2_g1.5,ID11,B,C,C,B,1,1
B2_frame_greedy_tau4_t2_g1.5,ID12,"G,H",C,C,"G,H",1,2
B2_frame_greedy_tau4_t2_g1.5,ID13,"B,C",,,"B,C",0,2
B2_frame_greedy_tau4_t2_g1.5,ID14,"B,D",E,E,"B,D",1,2
B2_frame_greedy_tau4_t2_g1.5,ID15,"A,C",G,G,"A,C",1,2
B2_frame_greedy_tau4_t2_g1.5,ID16,"B,F",G,G,"B,F",1,2
B2_frame_greedy_tau4_t2_g1.5,ID17,"B,H",,,"B,H",0,2
B2_frame_greedy_tau4_t2_g1.5,ID18,"C,E",,,"C,E",0,2
B2_frame_greedy_tau4_t2_g1.5,ID19,"B,D",,,"B,D",0,2
B2_frame_greedy_tau4_t2_g1.5,ID20,D,F,F,D,1,1
B2_frame_greedy_tau4_t2_g1.5,ID21,,D,D,,1,0
B2_frame_greedy_tau4_t2_g1.5,ID22,D,"A,G","A,G",D,2,1
B2_frame_greedy_tau4_t2_g1.5,ID23,D,B,B,D,1,1
B2_frame_greedy_tau4_t2_g1.5,ID24,"F,H","A,C,E","A,C,E","F,H",3,2
B3_frame_exhaustive_t2_g2,ID01,"C,G","A,C,E,G,H","A,E,H",,3,0
B3_frame_exhaustive_t2_g2,ID02,"C,D","A,C,D,E,G","A,E,G",,3,0
B3_frame_exhaustive_t2_g2,ID03,"D,G","B,D",B,G,1,1
B3_frame_exhaustive_t2_g2,ID04,"C,F","A,C,F,G,H","A,G,H",,3,0
B3_frame_exhaustive_t2_g2,ID05,"A,H","A,D,G","D,G",H,2,1
B3_frame_exhaustive_t2_g2,ID06,"E,H","A,B,C,D,G","A,B,C,D,G","E,H",5,2
B3_frame_exhaustive_t2_g2,ID07,"B,G","A,C,E,G","A,C,E",B,3,1
B3_frame_exhaustive_t2_g2,ID08,"B,D","B,C,E","C,E",D,2,1
B3_frame_exhaustive_t2_g2,ID09,,"D,E,F,G","D,E,F,G",,4,0
B3_frame_exhaustive_t2_g2,ID10,"C,F","B,C,D,E,F,G,H","B,D,E,G,H",,5,0
B3_frame_exhaustive_t2_g2,ID11,B,"A,B,C,E,F,G,H","A,C,E,F,G,H",,6,0
B3_frame_exhaustive_t2_g2,ID12,"G,H","A,B,C,E,F,G","A,B,C,E,F",H,5,1
B3_frame_exhaustive_t2_g2,ID13,"B,C","A,C,D,E,F,G","A,D,E,F,G",B,5,1
B3_frame_exhaustive_t2_g2,ID14,"B,D","B,C,E,G","C,E,G",D,3,1
B3_frame_exhaustive_t2_g2,ID15,"A,C","A,C,E,G","E,G",,2,0
B3_frame_exhaustive_t2_g2,ID16,"B,F","A,B,C,E,F,G","A,C,E,G",,4,0
B3_frame_exhaustive_t2_g2,ID17,"B,H","A,B,D","A,D",H,2,1
B3_frame_exhaustive_t2_g2,ID18,"C,E","A,B,C,D,F,G,H","A,B,D,F,G,H",E,6,1
B3_frame_exhaustive_t2_g2,ID19,"B,D","E,G","E,G","B,D",2,2
B3_frame_exhaustive_t2_g2,ID20,D,"F,H","F,H",D,2,1
B3_frame_exhaustive_t2_g2,ID21,,"D,E,F,G","D,E,F,G",,4,0
B3_frame_exhaustive_t2_g2,ID22,D,"A,F,G","A,F,G",D,3,1
B3_frame_exhaustive_t2_g2,ID23,D,"A,B,F,G,H","A,B,F,G,H",D,5,1
B3_frame_exhaustive_t2_g2,ID24,"F,H","A,C,D,E,F","A,C,D,E",H,4,1
