file,rows
reports/ANCHOR_SOLVER_AUDIT.md,161
reports/SOLVER_AUDIT_SUMMARY.md,72
reports/TAG_SOLVER_AUDIT.md,112
tables/anchor_solver_versions.csv,7
tables/parameter_comparison.csv,9
tables/tag_solver_versions.csv,6
code_excerpts/t1_tag_core.py,12
code_excerpts/t2_tag_core.py,9
code_excerpts/t3_tag_core.py,10
code_excerpts/t4_tag_core.py,12
code_excerpts/t4_v6_imu_gate_core.py,13
code_excerpts/v1_anchor_core.py,14
code_excerpts/v2_anchor_core.py,19
code_excerpts/v3_full_anchor_core.py,30
code_excerpts/v3_lite_anchor_core.py,18
code_excerpts/v4_anchor_core.py,28
code_excerpts/v5_anchor_core.py,28
