host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T01:34:54.814+02:00,BSF66F,4540,2,C,2619,1199052461,6590,47761,10648,559,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004540_C.bin
2026-06-02T01:34:55.792+02:00,BSF66F,4542,3,D,2667,3238439029,6602,47697,11843,687,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004542_D.bin
2026-06-02T01:34:56.745+02:00,BSF66F,4544,0,A,2769,892240533,5460,47729,16287,1929,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004544_A.bin
2026-06-02T01:34:57.706+02:00,BSF66F,4546,1,B,3206,1732034933,6085,47969,9341,458,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004546_B.bin
2026-06-02T01:34:58.673+02:00,BSF66F,4548,2,C,2633,3006085791,6458,47755,11555,678,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004548_C.bin
2026-06-02T01:34:59.647+02:00,BSF66F,4550,3,D,2582,482569228,6711,48120,10649,758,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004550_D.bin
2026-06-02T01:35:00.589+02:00,BSF66F,4551,7,H,2270,3997008181,7551,47889,21479,1917,64,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004551_H.bin
2026-06-02T01:35:01.498+02:00,BSF66F,4552,0,A,2751,3927238447,5497,47883,16615,2002,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004552_A.bin
2026-06-02T01:35:02.413+02:00,BSF66F,4553,4,E,2678,1854509362,8446,47894,12784,712,32,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004553_E.bin
2026-06-02T01:35:03.342+02:00,BSF66F,4554,1,B,3208,1117959501,6023,47929,8393,446,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004554_B.bin
