host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
0.003364,1782242860.574716,1386,,BSF66F,,t,0,0,2083,2083,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1386,,BSF66F,,t,0,2,0,3657,83,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1386,,BSF66F,,t,0,3,2366,2366,75,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1386,,BSF66F,,t,0,4,0,2017,83,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1386,,BSF66F,,t,0,6,3573,3573,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1386,,BSF66F,,t,0,7,2456,2456,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1387,,BSF66F,,t,0,0,2098,2098,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1387,,BSF66F,,t,0,1,3752,3752,40,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1387,,BSF66F,,t,0,3,2595,2595,80,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1387,,BSF66F,,t,0,4,2061,2061,85,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1387,,BSF66F,,t,0,6,0,3573,83,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.003364,1782242860.574716,1387,,BSF66F,,t,0,7,2088,2088,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.128248,1782242860.6996,1388,,BSF66F,,t,0,0,2078,2078,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.128248,1782242860.6996,1388,,BSF66F,,t,0,1,0,3752,33,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.128248,1782242860.6996,1388,,BSF66F,,t,0,3,2366,2366,83,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.128248,1782242860.6996,1388,,BSF66F,,t,0,4,0,2061,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.128248,1782242860.6996,1388,,BSF66F,,t,0,5,3032,3032,50,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.128248,1782242860.6996,1388,,BSF66F,,t,0,7,2491,2491,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,0,2086,2086,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,1,0,3752,28,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,2,3642,3642,85,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,3,2409,2409,85,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,4,1792,1792,77,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,5,0,3032,42,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,6,3552,3552,85,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.219004,1782242860.790356,1389,,BSF66F,,f,0,7,0,2491,85,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.353645,1782242860.924997,1390,,BSF66F,,t,0,0,2143,2143,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.353645,1782242860.924997,1390,,BSF66F,,t,0,1,3657,3657,37,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.353645,1782242860.924997,1390,,BSF66F,,t,0,2,3527,3527,87,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.353645,1782242860.924997,1390,,BSF66F,,t,0,4,0,1792,70,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.353645,1782242860.924997,1390,,BSF66F,,t,0,6,3592,3592,87,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.353645,1782242860.924997,1390,,BSF66F,,t,0,7,2509,2509,87,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.398781,1782242860.970133,1391,,BSF66F,,t,0,0,2164,2164,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.398781,1782242860.970133,1391,,BSF66F,,t,0,1,0,3657,33,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.398781,1782242860.970133,1391,,BSF66F,,t,0,2,3613,3613,88,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.398781,1782242860.970133,1391,,BSF66F,,t,0,4,0,1792,63,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.398781,1782242860.970133,1391,,BSF66F,,t,0,6,3607,3607,88,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.398781,1782242860.970133,1391,,BSF66F,,t,0,7,2493,2493,88,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
