host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
1.466601,1782248226.882157,526,,BSF66F,,f,0,0,2168,2168,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,1,3382,3382,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,2,3657,3657,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,3,2488,2488,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,4,2061,2061,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,5,2972,2972,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,6,3568,3568,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.466601,1782248226.882157,526,,BSF66F,,f,0,7,2063,2063,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,0,2095,2095,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,1,3593,3593,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,2,3651,3651,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,3,2444,2444,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,4,2021,2021,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,5,2961,2961,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,6,3591,3591,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.464254,1782248227.87981,527,,BSF66F,,f,0,7,2039,2039,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,0,2121,2121,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,1,3610,3610,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,2,3609,3609,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,3,2483,2483,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,4,1979,1979,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,5,3023,3023,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,6,3564,3564,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
2.486602,1782248227.902158,528,,BSF66F,,f,0,7,2048,2048,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,0,0,2121,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,1,0,3610,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,2,0,3609,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,3,0,2483,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,4,0,1979,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,5,0,3023,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,6,0,3564,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
3.565807,1782248228.981363,529,,BSF66F,,f,0,7,0,2048,75,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
4.563988,1782248229.979544,530,,BSF66F,,f,0,0,2083,2083,80,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
4.563988,1782248229.979544,530,,BSF66F,,f,0,1,3875,3875,80,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
