host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,0,2131,2131,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,1,0,3548,60,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,2,3712,3712,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,3,0,2528,20,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,4,1978,1978,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,5,3430,3430,20,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,6,4261,4261,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
4.8e-05,1782244068.701979,935,,BSF66F,,f,0,7,0,2912,20,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,0,2162,2162,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,1,3468,3468,66,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,2,3822,3822,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,3,2510,2510,33,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,4,2426,2426,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,5,0,3430,16,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,6,3784,3784,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.119711,1782244068.821642,936,,BSF66F,,f,0,7,0,2912,16,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
