eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
solve,A-B,100,100,4512.0,4522.5,31.875899999999998,27.428099999999997,10.5,4519.5,28.9107
solve,A-C,100,100,5865.0,5941.0,22.9803,29.651999999999997,76.0,5901.5,57.080099999999995
solve,A-D,100,100,2883.0,2979.0,25.2042,23.7216,96.0,2923.5,75.6126
solve,A-E,100,100,1707.0,1716.5,22.238999999999997,27.428099999999997,9.5,1711.0,26.686799999999998
solve,A-F,100,100,4605.0,5115.0,62.2692,119.3493,510.0,4861.5,386.9586
solve,A-G,100,100,5391.5,5458.0,26.686799999999998,24.462899999999998,66.5,5429.0,45.9606
solve,A-H,100,100,1145.0,3186.5,30.3933,40.771499999999996,2041.5,2159.0,1512.252
solve,B-C,100,100,3041.0,3084.5,25.2042,25.9455,43.5,3061.0,37.065
solve,B-D,100,100,5220.0,5307.0,34.8411,25.2042,87.0,5275.5,60.0453
solve,B-E,100,100,4951.5,4733.0,126.7623,79.31909999999999,218.5,4805.0,177.17069999999998
solve,B-F,100,100,1887.5,1899.0,102.29939999999999,46.701899999999995,11.5,1894.5,72.64739999999999
solve,B-G,100,100,3792.0,3829.5,31.1346,22.9803,37.5,3815.0,33.3585
solve,B-H,100,100,4517.5,5684.5,37.8063,35.5824,1167.0,5578.0,326.17199999999997
solve,C-D,100,100,4352.5,4428.0,22.9803,22.9803,75.5,4393.0,57.080099999999995
solve,C-E,100,100,5304.5,5240.5,20.0151,33.3585,64.0,5278.5,47.4432
solve,C-F,100,100,3364.0,3311.0,31.875899999999998,22.9803,53.0,3333.5,40.0302
solve,C-G,100,100,1770.0,1772.5,16.3086,14.0847,2.5,1772.0,14.825999999999999
solve,C-H,100,100,4371.0,4385.0,47.4432,39.2889,14.0,4374.0,37.8063
solve,D-E,100,100,3257.0,3149.5,25.9455,28.1694,107.5,3202.0,79.31909999999999
solve,D-F,100,100,5317.0,5232.0,22.9803,35.5824,85.0,5281.5,57.8214
solve,D-G,100,100,4548.5,4505.0,18.5325,23.7216,43.5,4529.0,34.099799999999995
solve,D-H,100,100,1749.0,1703.0,38.547599999999996,28.1694,46.0,1723.5,42.2541
solve,E-F,100,100,4135.5,4155.5,27.428099999999997,24.462899999999998,20.0,4146.0,29.651999999999997
solve,E-G,100,100,5239.5,5303.0,27.428099999999997,28.9107,63.5,5271.5,48.1845
solve,E-H,100,100,995.5,2894.0,29.651999999999997,33.3585,1898.5,1952.5,1406.2460999999998
solve,F-G,100,100,3200.5,3247.5,20.7564,21.4977,47.0,3224.0,35.5824
solve,F-H,100,100,4565.0,5106.0,91.9212,13.343399999999999,541.0,4894.5,338.7741
solve,G-H,100,100,4046.0,4063.5,34.099799999999995,18.5325,17.5,4057.0,25.2042
