version,eval_set,rms,p50_abs,p75_abs,p95_abs,max_abs
v1-old,all1000,64.23232331626951,28.314576021756693,51.098866899322275,143.91923095266623,183.11640161246896
v1-old,solve,64.23232331626951,28.314576021756693,51.098866899322275,143.91923095266623,183.11640161246896
v2,all1000,40.42893749055175,27.148440750307145,42.98771617195416,80.35760205235508,90.38283439202405
v2,solve,40.42893749055175,27.148440750307145,42.98771617195416,80.35760205235508,90.38283439202405
v3-full,all1000,66.4152127963247,1.9952499581493157,7.16242877468585,182.57071000897923,207.89645086749897
v3-full,solve,66.4152127963247,1.9952499581493157,7.16242877468585,182.57071000897923,207.89645086749897
v3-lite,all1000,40.8239541978783,27.356306164461557,43.21529745098519,82.00589529203654,91.65460530487417
v3-lite,solve,40.8239541978783,27.356306164461557,43.21529745098519,82.00589529203654,91.65460530487417
v4-io,all1000,44.336175075788965,15.260544140257252,25.29628794317398,87.74981505675784,163.32457871294264
v4-io,solve,44.336175075788965,15.260544140257252,25.29628794317398,87.74981505675784,163.32457871294264
v4-io-roto,all1000,57.91491907017231,22.817640289850715,57.048815940728446,134.07326261179657,146.93469600370554
v4-io-roto,solve,57.91491907017231,22.817640289850715,57.048815940728446,134.07326261179657,146.93469600370554
v4-io-td,all1000,44.336175075788965,15.260544140257252,25.29628794317398,87.74981505675784,163.32457871294264
v4-io-td,solve,44.336175075788965,15.260544140257252,25.29628794317398,87.74981505675784,163.32457871294264
v4-io-wand,all1000,44.239304273465955,17.548048894479507,28.207786712488314,87.6019002446066,163.80187227973784
v4-io-wand,solve,44.239304273465955,17.548048894479507,28.207786712488314,87.6019002446066,163.80187227973784
v5,all1000,44.336175075788965,15.260544140257252,25.29628794317398,87.74981505675784,163.32457871294264
v5,solve,44.336175075788965,15.260544140257252,25.29628794317398,87.74981505675784,163.32457871294264
