eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
last500,A-B,500,500,2994.0,3018.0,29.651999999999997,25.2042,24.0,3008.0,31.1346
last500,A-C,500,500,5523.0,5545.0,17.7912,22.238999999999997,22.0,5534.0,23.7216
last500,A-D,500,500,4652.0,4676.0,37.065,34.099799999999995,24.0,4666.0,35.5824
last500,A-E,500,500,1444.5,1482.0,25.9455,37.065,37.5,1459.0,37.065
last500,A-F,500,500,3193.0,3195.0,45.9606,20.7564,2.0,3194.0,30.3933
last500,A-G,500,500,5749.0,5766.5,32.6172,24.462899999999998,17.5,5759.0,29.651999999999997
last500,A-H,500,500,4849.0,4865.5,37.065,31.875899999999998,16.5,4858.0,35.5824
last500,B-C,500,500,4567.0,4566.0,23.7216,25.2042,1.0,4567.0,23.7216
last500,B-D,500,500,5453.0,5418.0,40.0302,34.099799999999995,35.0,5434.0,41.5128
last500,B-E,500,500,3216.0,3210.0,25.2042,28.1694,6.0,3214.0,28.1694
last500,B-F,500,500,1442.0,1434.0,19.273799999999998,17.7912,8.0,1437.5,20.0151
last500,B-G,500,500,4982.0,5015.0,40.0302,40.0302,33.0,5000.0,44.477999999999994
last500,B-H,500,500,5650.0,5668.0,20.7564,19.273799999999998,18.0,5660.0,22.238999999999997
last500,C-D,500,500,3149.5,3105.0,43.7367,31.1346,44.5,3124.0,42.9954
last500,C-E,500,500,5669.0,5669.0,16.3086,17.7912,0.0,5669.0,16.3086
last500,C-F,500,500,4812.0,4793.0,16.3086,16.3086,19.0,4802.0,19.273799999999998
last500,C-G,500,500,1739.0,1723.0,17.7912,32.6172,16.0,1733.0,25.2042
last500,C-H,500,500,3462.0,3446.0,29.651999999999997,28.1694,16.0,3455.0,32.6172
last500,D-E,500,500,5076.0,5128.0,21.4977,29.651999999999997,52.0,5093.5,37.8063
last500,D-F,500,500,5585.0,5600.0,31.1346,23.7216,15.0,5593.0,29.651999999999997
last500,D-G,500,500,3260.0,3283.0,22.238999999999997,20.7564,23.0,3272.0,23.7216
last500,D-H,500,500,1545.0,1515.0,47.4432,32.6172,30.0,1526.0,44.477999999999994
last500,E-F,500,500,2798.0,2785.0,20.7564,17.7912,13.0,2791.0,20.7564
last500,E-G,500,500,5604.0,5600.0,17.7912,20.7564,4.0,5603.0,19.273799999999998
last500,E-H,500,500,4562.0,4573.0,28.1694,23.7216,11.0,4569.0,25.2042
last500,F-G,500,500,4655.0,4658.0,19.273799999999998,17.7912,3.0,4656.0,17.7912
last500,F-H,500,500,5441.0,5462.0,29.651999999999997,26.686799999999998,21.0,5452.0,29.651999999999997
last500,G-H,500,500,2934.0,2944.0,31.1346,23.7216,10.0,2939.0,29.651999999999997
