tilt,peer,n,rms_median,rms_p75,rms_p95,rms_max
high,BS2DCE,32,98.96511263382632,123.24184812846985,147.53690826166135,148.09836848571894
high,BSDC91,32,86.7113429507688,106.88259902554935,119.58022965798038,123.10829445915967
high-extra,BS2DCE,8,104.58398595467264,104.84047959387352,106.34614469742472,106.96284637682868
high-extra,BSDC91,8,105.66571938471489,108.09741253380147,113.40484860333514,116.2626987946225
mid,BS2DCE,32,103.06041879252014,122.94139824235948,180.60909596086952,182.23494202243032
mid,BSDC91,32,104.01600628805878,113.16642214713889,137.0190651071329,138.93302095804944
planar,BS2DCE,8,156.73512317440577,157.2643242236175,158.5151944496769,158.5151944496769
planar,BSDC91,8,143.8595480439662,145.48695946080278,146.32629203954212,146.3362185827537
small,BS2DCE,24,142.16994940896262,158.1999581434617,164.06194666200972,164.19855288897415
small,BSDC91,24,144.8582239873121,151.95493884452583,161.90332536983667,162.25717350982805
vertical,BS2DCE,32,85.32661552813173,93.3206752466321,100.52033239710754,105.45179709773409
vertical,BSDC91,32,88.37718789727859,93.31377736193716,97.79266805504895,106.02182703825325
