version,eval_set,pair,measured_mm,predicted_mm,residual_mm,abs_residual_mm
v3-lite,last500,A-B,3007.933236574746,2973.5822676404764,-34.35096893426953,34.35096893426953
v3-lite,last500,A-C,5531.585365853659,5549.404453407373,17.81908755371387,17.81908755371387
v3-lite,last500,A-D,4664.998266897747,4693.4932321273045,28.494965229557238,28.494965229557238
v3-lite,last500,A-E,1456.8322147651006,1462.7857577707457,5.953543005645088,5.953543005645088
v3-lite,last500,A-F,3194.6611927398444,3209.840630427503,15.17943768765872,15.17943768765872
v3-lite,last500,A-G,5760.2,5785.384841233124,25.184841233123734,25.184841233123734
v3-lite,last500,A-H,4858.484939066452,4807.115372700772,-51.36956636567993,51.36956636567993
v3-lite,last500,B-C,4566.530275229358,4544.897515391223,-21.632759838134916,21.632759838134916
v3-lite,last500,B-D,5432.717806041335,5479.546507086241,46.828701044905756,46.828701044905756
v3-lite,last500,B-E,3213.3323076923075,3228.834607446825,15.50229975451748,15.50229975451748
v3-lite,last500,B-F,1437.6805111821086,1436.8275504351402,-0.8529607469683924,0.8529607469683924
v3-lite,last500,B-G,4998.5,4998.242978313045,-0.25702168695534056,0.25702168695534056
v3-lite,last500,B-H,5659.665753424659,5654.039322316147,-5.626431108511497,5.626431108511497
v3-lite,last500,C-D,3119.9662535748334,3055.4897425100385,-64.47651106479498,64.47651106479498
v3-lite,last500,C-E,5669.0,5734.239444024395,65.2394440243952,65.2394440243952
v3-lite,last500,C-F,4802.499999999999,4760.322649415453,-42.17735058454582,42.17735058454582
v3-lite,last500,C-G,1735.3312101910828,1715.8805123454358,-19.450697845647028,19.450697845647028
v3-lite,last500,C-H,3453.5900131406042,3488.4052929338122,34.81527979320799,34.81527979320799
v3-lite,last500,D-E,5093.915608357231,5004.234743813128,-89.6808645441024,89.6808645441024
v3-lite,last500,D-F,5594.490674318508,5633.893651647221,39.40297732871295,39.40297732871295
v3-lite,last500,D-G,3272.29216152019,3305.8343698408075,33.54220832061765,33.54220832061765
v3-lite,last500,D-H,1524.6286472148543,1525.6007630881425,0.9721158732882031,0.9721158732882031
v3-lite,last500,E-F,2790.5058823529407,2779.537043602451,-10.968838750489795,10.968838750489795
v3-lite,last500,E-G,5602.305882352941,5541.868364818459,-60.43751753448214,60.43751753448214
v3-lite,last500,E-H,4568.435980551054,4660.033194562235,91.59721401118077,91.59721401118077
v3-lite,last500,F-G,4656.619808306709,4700.698696051141,44.078887744431995,44.078887744431995
v3-lite,last500,F-H,5452.602209944751,5413.947538439083,-38.654671505668375,38.654671505668375
v3-lite,last500,G-H,2940.327116212339,2932.891985154675,-7.435131057664421,7.435131057664421
