version,eval_set,pair,measured_mm,predicted_mm,residual_mm,abs_residual_mm
v4-io-roto,last500,A-B,3007.933236574746,3013.9725264006456,6.0392898258996865,6.0392898258996865
v4-io-roto,last500,A-C,5531.585365853659,5534.133260570877,2.547894717217787,2.547894717217787
v4-io-roto,last500,A-D,4664.998266897747,4724.289513895129,59.29124699738168,59.29124699738168
v4-io-roto,last500,A-E,1456.8322147651006,1448.545742866224,-8.286471898876698,8.286471898876698
v4-io-roto,last500,A-F,3194.6611927398444,3218.6172659734725,23.956073233628103,23.956073233628103
v4-io-roto,last500,A-G,5760.2,5794.2498511267895,34.04985112678969,34.04985112678969
v4-io-roto,last500,A-H,4858.484939066452,4887.990890894863,29.505951828410616,29.505951828410616
v4-io-roto,last500,B-C,4566.530275229358,4576.279102854364,9.748827625006015,9.748827625006015
v4-io-roto,last500,B-D,5432.717806041335,5580.185558724684,147.4677526833484,147.4677526833484
v4-io-roto,last500,B-E,3213.3323076923075,3254.4137457825723,41.08143809026478,41.08143809026478
v4-io-roto,last500,B-F,1437.6805111821086,1442.9173051253488,5.236793943240173,5.236793943240173
v4-io-roto,last500,B-G,4998.5,4988.845530276195,-9.65446972380505,9.65446972380505
v4-io-roto,last500,B-H,5659.665753424659,5722.781040165781,63.11528674112196,63.11528674112196
v4-io-roto,last500,C-D,3119.9662535748334,3099.7843784544007,-20.181875120432778,20.181875120432778
v4-io-roto,last500,C-E,5669.0,5729.204515019206,60.204515019206156,60.204515019206156
v4-io-roto,last500,C-F,4802.499999999999,4826.711060137727,24.211060137728055,24.211060137728055
v4-io-roto,last500,C-G,1735.3312101910828,1723.7506250904732,-11.580585100609596,11.580585100609596
v4-io-roto,last500,C-H,3453.5900131406042,3470.389433887468,16.79942074686369,16.79942074686369
v4-io-roto,last500,D-E,5093.915608357231,4992.0188707098905,-101.89673764734016,101.89673764734016
v4-io-roto,last500,D-F,5594.490674318508,5709.843236040702,115.35256172219397,115.35256172219397
v4-io-roto,last500,D-G,3272.29216152019,3345.3180259440223,73.02586442383245,73.02586442383245
v4-io-roto,last500,D-H,1524.6286472148543,1503.5370077081254,-21.091639506728825,21.091639506728825
v4-io-roto,last500,E-F,2790.5058823529407,2776.5911909844194,-13.91469136852129,13.91469136852129
v4-io-roto,last500,E-G,5602.305882352941,5559.278354322858,-43.027528030082976,43.027528030082976
v4-io-roto,last500,E-H,4568.435980551054,4712.220634805898,143.7846542548441,143.7846542548441
v4-io-roto,last500,F-G,4656.619808306709,4718.318801652999,61.69899334629008,61.69899334629008
v4-io-roto,last500,F-H,5452.602209944751,5468.061253327238,15.459043382486925,15.459043382486925
v4-io-roto,last500,G-H,2940.327116212339,2927.4970881834793,-12.830028028859942,12.830028028859942
