version,ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic
v1-old,ID25,planar,none,461.48242204048086,593.0465564716206,131.5641344311398,11.564134431139792,11.564134431139792,21.482422040480856,33.04655647162065,58.38986306316392,23.69677748926003,17.8637234118162,40.08573700081326,26.62397369430073,48,47,156.60612081843777,145.04666753704728
v1-old,ID26,small,BCGF,471.8954680634138,588.5519396820317,116.65647161861796,-3.3435283813820433,3.3435283813820433,31.895468063413773,28.55193968203173,45.36267422516137,28.539193935785928,20.06156538250183,49.066565454042525,28.400938859765457,47,48,162.5504483208931,142.29707601048258
v1-old,ID27,small,CDHG,460.0779308328192,569.2635832312303,109.1856523984111,-10.814347601588906,10.814347601588906,20.07793083281922,9.263583231230314,69.83447475030843,28.4542308290765,30.65666763047832,51.48780277053246,47.01760286996326,48,48,142.7167819200097,161.85544438587797
v1-old,ID28,small,ADHE,467.21043959743577,592.2293656289454,125.01892603150964,5.018926031509636,5.018926031509636,27.210439597435766,32.2293656289454,58.423575879469944,24.813611805686516,21.01861211721302,35.15349431318724,42.60492171468603,47,47,119.07141757792188,127.64997134012164
v1-old,ID29,mid,ABEF,461.11818376232054,582.8327581358043,121.71457437348374,1.7145743734837424,1.7145743734837424,21.11818376232054,22.832758135804283,64.1358098025883,26.051894701660288,16.009832203733858,39.48851816247316,27.65588897348133,47,47,166.90805255111337,130.19659479246945
v1-old,ID30,mid,BCGF,496.8098620395009,572.3813014223687,75.57143938286777,-44.428560617132234,44.428560617132234,56.8098620395009,12.381301422368665,30.50711429879988,40.6000695537583,23.694205727208054,67.57311396147931,41.051710500048905,46,46,111.9355233646519,102.38197507180377
v1-old,ID31,mid,CDHG,426.1501991755646,549.6084690429917,123.45826986742713,3.458269867427134,3.458269867427134,-13.84980082443542,-10.391530957008285,41.650479794230755,22.50603597025268,16.67973208811089,35.66528352731195,27.916542183713347,46,46,103.99584751529412,96.51469651686699
v1-old,ID32,mid,ADHE,500.9032429638222,566.9138347989492,66.010591835127,-53.989408164873,53.989408164873,60.90324296382221,6.91383479894921,46.32493071874242,22.933226104404927,17.429818564799948,38.24745542131532,27.525062220160276,46,46,98.69788536834439,101.3872963174217
v1-old,ID33,high,ABEF,457.9854729933113,553.4208591459418,95.43538615263049,-24.564613847369515,24.564613847369515,17.985472993311305,-6.57914085405821,56.33195123036769,36.062402522079076,19.01294068914626,59.016884526633746,30.128801887218785,45,45,145.7894003752619,116.22653472756704
v1-old,ID34,high,BCGF,484.5650914811239,543.9586664609135,59.393574979789605,-60.606425020210395,60.606425020210395,44.565091481123886,-16.04133353908651,35.03421812110904,24.53854206627833,14.781001322886727,41.78104248947515,25.834983039800015,44,44,86.13802409984218,69.85038564754797
