version,ID,peer,path,tilt,facing,status,N_frames,radius,radial_std,z_plane_std,circle_3d_std,circle_3d_rms,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,median_anchors,pct_ge7,pct_ge8
v4-io,ID25,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1801,465.12353862777525,54.15431187038755,148.81371244882718,90.86205448899896,158.3486076160286,10.361537461541397,1298.5006696529565,2819.342292971405,-959.2848967093855,0.0815234323838075,0.1603219590265762,-0.9836924313149122,8.0,99.94447529150472,87.56246529705719
v4-io,ID25,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1800,595.1753441777324,65.13223149212781,128.76026504773031,84.0185422269536,144.3004132228468,5.6367038495481285,1300.5898019328285,2819.21234580801,-906.0064619547412,0.034268310530123094,-0.0920485461807728,0.995164683878712,8.0,99.77777777777777,73.77777777777777
v4-io,ID26,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1800,461.5953680120262,77.3407270335663,144.4628297417983,94.43792200418557,163.94728689694324,19.514307776548513,1302.2770610180376,2757.33142308083,-922.4309802009305,-0.11561493725407024,0.3133965643082597,0.9425581041843076,8.0,99.8888888888889,85.05555555555556
v4-io,ID26,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1801,588.1262585589184,81.86292423765467,121.80608191538654,81.3485551397851,146.82997852724893,16.8853078965955,1309.1874136253073,2743.083951076528,-897.1141758086806,-0.0054692352579416535,0.2904053357815644,0.9568880960777442,8.0,99.50027762354247,80.62187673514714
v4-io,ID27,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1800,464.5166564090367,64.4004347707745,132.72361084578597,88.9937585790167,147.54993412923596,24.668454655357806,1396.1447773381337,2736.846822137953,-967.9333979096871,-0.2263234512948555,-0.3506747096846765,0.9087381049463885,8.0,100.0,86.61111111111111
v4-io,ID27,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1801,569.3189317418768,60.17064941575741,143.2542480969198,101.27187787299896,155.36742786540077,15.071750468032322,1405.577725529383,2738.795577875385,-906.5929352642272,0.20452272849550718,0.16057786287154452,-0.965600954579251,8.0,99.7223764575236,78.67851193781232
v4-io,ID28,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1800,469.91098739535124,60.40852450428072,100.86792912120124,65.62711924995729,117.60541944157278,25.045738355788963,1454.6034943507257,2767.4856615310086,-989.8747450532724,0.004397807638458059,-0.42331877529920076,0.9059701285181317,8.0,99.94444444444444,85.83333333333333
v4-io,ID28,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1801,595.2541766627733,62.48869488272538,120.39099798221501,79.6168175832019,135.6444594065273,19.98741607108241,1469.2762433136725,2749.4533364859344,-952.6427987827465,0.03943471503702659,0.3395313572656098,-0.9397677163444811,8.0,99.55580233203776,74.34758467518046
v4-io,ID29,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,455.7462760382751,68.24305785073919,165.3306738580224,100.57211650977186,178.88528801128803,14.26595550371082,1404.2522086608517,2694.3081320962915,-1001.7908835273932,0.22343937868351027,0.10391935895211823,0.9691623243236952,8.0,99.94444444444444,88.55555555555556
v4-io,ID29,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,577.6734825663794,58.54554957126446,121.98354536942516,80.87623705075976,135.30052795078382,13.828656820577608,1404.854766555466,2710.0589602763876,-940.0272151641897,0.21519907070104943,0.10401688438293577,0.9710148545375976,8.0,99.66666666666667,70.94444444444444
v4-io,ID30,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,mid,BCGF,ok,1801,490.2723549846987,78.31030489349534,68.73132918746559,59.89784528005599,104.35539755475907,58.96229104711128,1494.5267916644912,2540.7814026407195,-873.29737310635,0.09527591280903462,-0.8515145158840742,-0.5156021040270454,8.0,99.94447529150472,91.28262076624097
v4-io,ID30,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,mid,BCGF,ok,1800,564.8570775595693,71.37246167650673,64.88119790303865,50.13426741419912,96.53446433228305,50.42243839094026,1511.0837838769742,2524.7010597548065,-858.5899678470935,0.09769934843764808,-0.7645457166817644,-0.6371221895511299,7.0,99.66666666666667,48.5
v4-io,ID31,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,mid,CDHG,ok,1800,432.44610685355286,67.90403694254272,75.70674597131719,51.53372436944777,101.81095112523258,48.69346745619294,1549.8883878813003,2706.242714919065,-946.4685795375534,-0.7445748441030069,-0.09946372883587407,0.6600873185988703,8.0,99.8888888888889,89.55555555555556
v4-io,ID31,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,mid,CDHG,ok,1801,549.2979264502276,73.34578744952562,66.57456200565088,45.382933910833735,99.1488614525639,46.638249453108735,1569.4906377534126,2707.113107558487,-926.6918400218564,0.7256462479770663,0.044886392133583364,-0.6866023118210688,8.0,99.61132704053304,61.188228761799
