peer_name,sweep,host_elapsed_s,x_mm,y_mm,z_mm,used_anchors
BS9336,10522,0.002779,1377.0676178008873,2292.3520840226815,897.5832432651107,8
BS9336,10523,0.10037,1493.8343738017836,2216.829171777572,883.9139720171786,8
BS9336,10524,0.205403,1442.5742328634847,2234.187658240781,945.367542399514,8
BS9336,10525,0.310236,1442.5883667318442,2260.6723451461344,999.5194474920133,8
BS9336,10526,0.3853,1347.3708713181388,2278.848502509501,905.0518959169444,8
BS9336,10527,0.619754,1364.474594145506,2293.5403114136984,923.8708291551728,8
BS9336,10528,0.638309,1442.6035836138885,2231.2222969000477,957.2681199735509,8
BS9336,10529,0.692932,1344.8048800464956,2284.004103834924,822.2191083573509,8
BS9336,10530,0.797804,1412.6739254404256,2266.3701704663895,946.2509041812198,8
BS9336,10531,0.925359,1353.5488028205243,2277.923650678786,943.099398688968,8
BS9336,10532,1.000844,1407.816482620066,2270.9580831212206,974.5240108288175,8
BS9336,10533,1.104879,1368.2680881258073,2289.4942309576127,772.0948751089827,8
BS9336,10534,1.210305,1336.718117176589,2261.2601893503947,847.0573475383702,8
BS9336,10535,1.285321,1348.4803091111703,2284.72550817218,851.9573026854549,8
BS9336,10536,1.390389,1449.6643176234734,2235.902859430995,947.394440130685,8
BS9336,10537,1.572487,1423.4099777119318,2253.3753043451234,1050.4525514247866,8
BS9336,10538,1.592682,1377.9715959181947,2263.65313371215,823.0190168396484,8
BS9336,10539,1.697741,1421.5696220422453,2293.0911644070266,921.6205241948406,8
BS9336,10540,1.802749,1409.3346293955774,2259.4920540214644,899.7186487200788,8
BS9336,10541,1.900381,1384.518780327961,2268.0986964823255,912.7314423267235,8
BS9336,10542,2.005194,1354.3172159383244,2228.0747841464663,846.4141669642355,8
BS9336,10543,2.110383,1377.2974907611417,2277.5493232976773,855.0256443470394,8
BS9336,10544,2.185295,1405.8902954905382,2283.6441694469722,883.3524743645552,8
BS9336,10545,2.290171,1409.2288548766217,2243.2567349383503,951.8660232183524,8
BS9336,10546,2.387851,1396.6458718712167,2222.8592551591896,808.684998843313,8
BS9336,10547,2.543705,1423.651950858189,2223.9651796118837,941.5635437323787,8
BS9336,10548,2.617252,1486.4625629547813,2230.9199984959832,970.263402073832,8
BS9336,10549,2.725263,1404.9535881860977,2247.0664239716534,855.2525413190301,8
BS9336,10550,2.800224,1422.40620230463,2235.5953426433707,888.0625278526021,8
BS9336,10551,2.882648,1457.2794100513602,2198.7026578198847,830.0203884283992,8
BS9336,10552,3.010148,1337.672019786431,2250.4557240029003,970.176542121794,8
BS9336,10553,3.085291,1381.860569177861,2276.8398163230636,1002.6306426394057,8
BS9336,10554,3.19022,1342.9168369360111,2250.9819602204343,997.8404818619482,8
BS9336,10555,3.287775,1374.6148293229342,2265.2579364922744,844.8496458073685,8
BS9336,10556,3.392752,1367.6404932546156,2244.838078443108,973.4370475393156,8
BS9336,10557,3.548639,1411.4711058450239,2266.218400383513,911.1911236705491,8
BS9336,10558,3.622158,1430.6903402669307,2260.5513994240296,942.7856204834204,8
BS9336,10559,3.700299,1382.5958712453519,2288.5833210524265,870.0793531472228,8
BS9336,10560,3.805239,1401.0069882483724,2267.367814338789,964.4436611964869,8
BS9336,10561,3.910032,1424.9362119008445,2255.2913433259955,943.3096874702723,8
BS9336,10562,3.985161,1475.2578373856827,2227.401931674885,911.6971774888653,8
BS9336,10563,4.109167,1373.9039697751903,2251.0842478733753,806.2878735165339,8
BS9336,10564,4.187782,1397.537525097366,2276.182005654104,939.6644011378363,8
BS9336,10565,4.292763,1373.0180288046784,2258.4587579766317,920.1203492770844,8
BS9336,10566,4.397521,1439.3976615504112,2282.935343636662,916.5859408742984,8
BS9336,10567,4.547127,1381.2721674979387,2250.413820295505,925.5280753297293,8
BS9336,10568,4.62703,1423.3489985459978,2241.330236255911,939.5256162023554,8
BS9336,10569,4.682563,1397.260773044749,2274.724104860243,838.8702968303812,8
BS9336,10570,4.832213,1400.469078205826,2252.0172785251693,943.5372959799382,8
BS9336,10571,4.885186,1422.6439112728256,2253.387269752386,951.1255805716531,8
BS9336,10572,4.99026,1331.6767905891277,2271.0604356127146,869.8063300800343,8
BS9336,10573,5.087624,1395.1132751375055,2236.5987058877527,706.5313010599718,8
