solver,config,ID,N,X,Y,Z,3D
MDS+NLS,Dual-layer 8anc,ID15,600,21.166832740473033,13.301572459859223,34.905344164102885,42.93424844320112
V3-lite,Dual-layer 8anc,ID15,600,21.201714984679867,13.315443569235095,34.93518685417047,42.980007401964095
AutoPos V2,Dual-layer 8anc,ID15,600,21.200052948332697,13.312381138437791,34.99215748333285,43.02456068253936
V4-interonly,Dual-layer 8anc,ID15,600,22.357990228516154,13.636944030181787,34.83625236425446,43.58222628924272
V3-lite,Upper only EFGH,ID13,240,37.682963820374724,22.97570307412185,0.0,44.13489202476746
AutoPos V2,Upper only EFGH,ID13,240,37.79741004194117,22.946123012458205,0.0,44.217290364533866
MDS+NLS,Upper only EFGH,ID13,240,37.81917597621927,22.948945435810145,1.6585549756364572e-35,44.23736167693585
AutoPos V2,Lower+EF,ID15,600,20.742464218797853,13.844409686733899,37.58153093326189,45.10309267367329
V4-interonly,Upper only EFGH,ID16,172,38.60387175022911,24.153942382109946,6.5242063980619365e-18,45.53758718582292
V4-interonly,Dual-layer 8anc,ID14,600,22.414012724654572,13.915093569832072,37.739820683913,46.04684419948958
V3-lite,Lower+EF,ID15,600,21.125454730725536,14.001668065955489,38.58769528992711,46.16645723896728
V3-lite,Dual-layer 8anc,ID14,600,22.81424920475317,14.159379504235357,37.6603699752388,46.25236708962482
MDS+NLS,Lower+EF,ID15,600,21.117726905178507,14.015843385220812,38.7013947163534,46.262297915599966
AutoPos V2,Dual-layer 8anc,ID14,600,22.78435692808654,14.15545367844543,37.75268928415945,46.3116544473996
MDS+NLS,Dual-layer 8anc,ID14,600,22.841086479207704,14.183843231568858,37.77370147490517,46.36538755886356
AutoPos V2,Lower+EF,ID14,600,24.620189332918493,14.116995938820933,37.89649338671077,47.345406410067426
V3-lite,Lower+EF,ID14,600,25.374189195413766,14.425269594546014,37.943590243916404,47.8712222613776
MDS+NLS,Lower+EF,ID14,600,25.32357942455776,14.38115413093429,38.10418156239994,47.958627185835006
V4-interonly,Best6 no DH,ID15,600,25.270947791739772,14.127394062102686,38.67671054957593,48.31244150541814
V4-interonly,Dual-layer 8anc,ID16,601,27.404348297192584,18.545992883289287,35.35235510669175,48.42252749713188
V3-lite,Dual-layer 8anc,ID16,601,27.495771051860636,18.73322123729695,35.30513156539112,48.51188842450299
V3-lite,Best6 no DH,ID15,600,25.49105306102803,14.13567401757407,38.813904385315084,48.539985988086634
MDS+NLS,Best6 no DH,ID15,600,25.479535085780572,14.134562678503842,38.83282833131645,48.548749999454884
AutoPos V2,Dual-layer 8anc,ID16,601,27.492810771999302,18.739027496105773,35.374827244910215,48.56319798213469
AutoPos V2,Best6 no DH,ID15,600,25.47892784466594,14.135858782653953,38.88645800898401,48.59171620884886
