dataset,ID,peer,version,N,metric,value_mm,X,Y,Z,radius_mm,radial_std,z_plane_std,rms_3d,tilt_deg
static,ID01,BSF66F,V3-lite,601,static_3d_std,47.011029659913774,25.080111312584155,20.277021914776174,34.2033230622606,,,,,
static,ID01,BSF66F,V4-interonly,601,static_3d_std,47.717531855455775,25.83133597434173,21.25659672770226,34.02737168388051,,,,,
static,ID02,BSF66F,V3-lite,601,static_3d_std,39.29342834598447,16.141697556793353,14.130818738493796,32.920192480389,,,,,
static,ID02,BSF66F,V4-interonly,601,static_3d_std,39.15837628442505,16.31593431438028,14.359849577093621,32.57243375624079,,,,,
static,ID03,BSF66F,V3-lite,600,static_3d_std,35.570488826214095,20.734727235524012,16.518604410120187,23.716375569344446,,,,,
static,ID03,BSF66F,V4-interonly,600,static_3d_std,36.19714722281893,21.305307700093532,17.56411793950338,23.40553549658668,,,,,
static,ID04,BSF66F,V3-lite,601,static_3d_std,51.64823059400303,22.591667819462486,13.341719119475801,44.48769267520387,,,,,
static,ID04,BSF66F,V4-interonly,601,static_3d_std,53.319987124094034,23.935096494643222,13.573618559647171,45.671534481587905,,,,,
static,ID05,BSF66F,V3-lite,601,static_3d_std,48.07834307711788,26.4442189120146,14.595477545035324,37.405913896159085,,,,,
static,ID05,BSF66F,V4-interonly,601,static_3d_std,49.4858754299364,26.618365453700513,15.499672018638538,38.73079724140803,,,,,
static,ID06,BSF66F,V3-lite,600,static_3d_std,30.193479983019305,18.829246191684707,12.573960032835696,19.97501565532716,,,,,
static,ID06,BSF66F,V4-interonly,600,static_3d_std,30.199088704416667,18.792414152576146,12.53639015195741,20.041682834861632,,,,,
static,ID07,BSF66F,V3-lite,600,static_3d_std,77.34176624306834,27.768088119033784,16.526833447611658,70.26767296563835,,,,,
static,ID07,BSF66F,V4-interonly,600,static_3d_std,85.00686805517762,29.556664810468128,17.652973082906,77.7235081758808,,,,,
static,ID08,BSF66F,V3-lite,601,static_3d_std,76.91443213117796,38.97521960214202,24.85675221237747,61.472790700267176,,,,,
static,ID08,BSF66F,V4-interonly,601,static_3d_std,105.26115272085083,55.39301787296,25.406243062571416,85.82567597458092,,,,,
static,ID09,BSF66F,V3-lite,601,static_3d_std,71.67589468631363,41.65025989779719,19.243060361570915,55.06718040221787,,,,,
static,ID09,BSF66F,V4-interonly,601,static_3d_std,86.48624459932847,49.303885534913086,18.99458743642645,68.47045365831173,,,,,
static,ID11,BSF66F,V3-lite,601,static_3d_std,50.357980466899875,19.499381938529154,16.466858110874483,43.41132207934193,,,,,
static,ID11,BSF66F,V4-interonly,601,static_3d_std,52.23107648220953,20.356560848007646,17.280879595364173,44.88949745032027,,,,,
static,ID12,BSF66F,V3-lite,601,static_3d_std,42.72904693984714,23.71718217165659,15.531125656056552,31.96953015106567,,,,,
static,ID12,BSF66F,V4-interonly,601,static_3d_std,41.81991435844494,23.746550585446954,16.5677768899799,30.17474674565349,,,,,
static,ID13,BSF66F,V3-lite,601,static_3d_std,47.682079565709905,21.906160987816957,12.717650257135245,40.397551837007704,,,,,
static,ID13,BSF66F,V4-interonly,601,static_3d_std,48.50360842554345,22.55230574313357,12.987259240535044,40.93072969525233,,,,,
static,ID14,BSF66F,V3-lite,600,static_3d_std,43.41155277917453,21.393675907421574,12.813082135866889,35.53446878802038,,,,,
static,ID14,BSF66F,V4-interonly,600,static_3d_std,43.48761026558633,21.46948720543469,12.873242615246399,35.55999142739225,,,,,
static,ID15,BSF66F,V3-lite,600,static_3d_std,41.39916372223039,20.305946050819017,12.954675174954332,33.67099201081973,,,,,
static,ID15,BSF66F,V4-interonly,600,static_3d_std,42.21703063503687,21.437069726269236,13.340462234086887,33.83432849299088,,,,,
static,ID16,BSF66F,V3-lite,601,static_3d_std,44.19421302515071,23.225285277257946,15.931556205842602,34.05730619944073,,,,,
static,ID16,BSF66F,V4-interonly,601,static_3d_std,44.73881671241243,23.631103393483322,16.02481386964621,34.443257884185826,,,,,
static,ID17,BSF66F,V3-lite,601,static_3d_std,58.08522105007393,26.128036022796163,17.29156165990594,48.91033156081738,,,,,
static,ID17,BSF66F,V4-interonly,601,static_3d_std,63.8144516044034,27.55656162126595,18.377120288713165,54.54540856092549,,,,,
static,ID18,BSF66F,V3-lite,601,static_3d_std,57.83176866259835,21.51581893481058,13.1590512153511,52.04250544814792,,,,,
static,ID18,BSF66F,V4-interonly,601,static_3d_std,66.99349620841559,24.564770676748953,12.909857517321678,60.97570134658708,,,,,
