host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,0,3003,3003,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,1,2695,2695,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,2,2633,2633,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,3,3176,3176,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,4,2878,2878,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,5,2455,2455,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,6,2507,2507,100,1,O,93,0,671,8
5.2e-05,1777922024.794551,728,,BSF66F,,f,0,7,3009,3009,50,1,O,93,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,0,3057,3057,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,1,2653,2653,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,2,2593,2593,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,3,3197,3197,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,4,2853,2853,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,5,2539,2539,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,6,2509,2509,100,1,O,94,0,671,8
0.097451,1777922024.89195,729,,BSF66F,,f,0,7,3021,3021,57,1,O,94,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,0,3028,3028,100,1,O,100,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,1,2677,2677,100,1,O,100,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,2,2604,2604,100,1,O,100,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,3,3218,3218,100,1,O,100,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,4,2904,2904,100,1,O,100,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,5,2555,2555,100,1,O,100,0,671,8
0.217484,1777922025.011983,730,,BSF66F,,f,0,6,2522,2522,100,1,O,100,0,671,8
