pair,meas_mm,pred_mm,err_mm,abs_err_mm,tukey_weight
B-C,3102.656050955414,2720.686114539266,-381.9699364161479,381.9699364161479,0.0
A-F,4911.542465753424,4826.924902646456,-84.61756310696819,84.61756310696819,0.0
A-G,5516.365853658537,5572.286861106105,55.92100744756772,55.92100744756772,0.0
C-D,4454.363422555717,4507.715536770252,53.352114214534595,53.352114214534595,0.0
D-E,3404.5,3453.2919487714476,48.79194877144755,48.79194877144755,0.0
C-H,4806.580110497237,4839.152429044496,32.572318547258874,32.572318547258874,0.0
F-H,5418.1176470588225,5444.289653790613,26.172006731790134,26.172006731790134,0.0
C-E,5564.248698239524,5544.448847821839,-19.799850417684866,19.799850417684866,0.0
D-F,5694.878048780487,5696.281085702968,1.4030369224810784,1.4030369224810784,0.7987202456659998
E-G,5368.057879656161,5368.638999024008,0.5811193678464406,0.5811193678464406,0.9665410116106596
B-E,4760.0,4760.450578483423,0.45057848342275975,0.45057848342275975,0.9792283929260218
E-F,4473.423857868021,4473.080237170576,-0.34362069744474866,0.34362069744474866,0.9881407097055382
D-G,4677.433628318584,4677.124651815391,-0.3089765031927527,0.3089765031927527,0.9901518699934081
F-G,3071.9530685920577,3071.6812750353615,-0.2717935566961387,0.2717935566961387,0.992443554817512
A-H,3258.580071174377,3258.84542883945,0.2653576650732248,0.2653576650732248,0.9929943972791277
B-D,5338.962277580071,5338.748928747607,-0.2133488324634527,0.2133488324634527,0.9955828258044735
B-G,3296.0000000000005,3296.2063885619277,0.20638856192726962,0.20638856192726962,0.9956604163035325
C-F,3357.7345767575325,3357.9368763953867,0.2022996378541393,0.2022996378541393,0.9958877309615737
E-H,2968.566371681416,2968.421138945883,-0.14523273553322724,0.14523273553322724,0.9978459612363672
A-D,3026.8647214854113,3026.734811154158,-0.1299103312535408,0.1299103312535408,0.9982709544115959
A-B,4529.840713813615,4529.861398237822,0.020684424206592666,0.020684424206592666,0.9999446303122519
C-G,1522.0404207053002,1522.0215023387027,-0.01891836659751789,0.01891836659751789,0.999955238922086
B-H,5591.8287112561175,5591.80979458927,-0.018916666847871966,0.018916666847871966,0.9999552041194648
G-H,4528.44089456869,4528.421977901842,-0.018916666847871966,0.018916666847871966,0.9999552041194648
D-H,1545.840262582057,1545.8213459152096,-0.01891666684741722,0.01891666684741722,0.999955204119463
B-F,1855.2522639068563,1855.2604389672154,0.008175060359008057,0.008175060359008057,0.999987965575631
A-C,5348.3179961884025,5348.3179969969515,8.085489753284492e-07,8.085489753284492e-07,0.999999999999257
A-E,1492.8943731490624,1492.8943731490624,0.0,0.0,1.0
