host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
70.936,1777918245.406752,7703192,23835,H,7,0xa107,0xb101,0xe1,15838,7,1858,124,6875,20
71.536,1777918246.006811,7703792,23836,H,7,0xa107,0xb101,0xe1,15693,7,1753,121,3077,20
71.936,1777918246.406685,7704192,23837,H,7,0xa107,0xb101,0xe1,16873,7,1823,119,4228,20
72.936,1777918247.406672,7705192,23838,H,7,0xa107,0xb101,0xe1,16494,7,1873,122,6744,20
73.536,1777918248.006669,7705792,23839,H,7,0xa107,0xb101,0xe1,16878,7,1980,124,3912,20
73.936,1777918248.406459,7706192,23840,H,7,0xa107,0xb101,0xe1,17260,7,1928,121,6029,20
74.536,1777918249.006505,7706792,23841,H,7,0xa107,0xb101,0xe1,16526,7,1846,121,4592,20
74.936,1777918249.406327,7707192,23842,H,7,0xa107,0xb101,0xe1,16811,7,1847,120,5208,20
75.536,1777918250.006263,7707792,23843,H,7,0xa107,0xb101,0xe1,16432,7,1866,122,2692,20
76.136,1777918250.606257,7708392,23844,H,7,0xa107,0xb101,0xe1,16114,7,1683,117,3633,20
76.649,1777918251.119791,7708892,23845,H,7,0xa107,0xb101,0xe1,16028,7,1674,117,6418,20
77.535,1777918252.006049,7709791,23846,H,7,0xa107,0xb101,0xe1,17030,7,1840,119,5991,20
78.135,1777918252.606051,7710392,23847,H,7,0xa107,0xb101,0xe1,16010,7,1848,123,4721,20
78.636,1777918253.106529,7710892,23848,H,7,0xa107,0xb101,0xe1,16105,7,1740,119,6078,20
79.135,1777918253.605956,7711392,23849,H,7,0xa107,0xb101,0xe1,15383,7,1662,119,2883,20
79.636,1777918254.106439,7711892,23850,H,7,0xa107,0xb101,0xe1,17095,7,1847,119,5987,20
87.935,1777918262.405421,7720192,23851,H,7,0xa107,0xb101,0xe1,15935,7,1780,121,4349,20
91.134,1777918265.604841,7723392,23852,G,6,0xa106,0xb101,0xe1,13695,6,128,35,1476,20
96.134,1777918270.604948,7728392,23853,H,7,0xa107,0xb101,0xe1,15372,7,1633,118,6415,20
104.113,1777918278.583583,7736371,23854,H,7,0xa107,0xb101,0xe1,16311,7,1792,120,4203,20
111.112,1777918285.583077,7743371,23855,H,7,0xa107,0xb101,0xe1,14623,7,732,81,3242,20
114.112,1777918288.582713,7746371,23856,H,7,0xa107,0xb101,0xe1,16528,7,1939,124,4826,20
119.112,1777918293.582542,7751371,23857,H,7,0xa107,0xb101,0xe1,15938,7,1722,119,6527,20
