host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count
0.000107,1777919422.29706,13136,,BSF66F,,f,0,0,1658,1658,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,1,3831,3831,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,2,4118,4118,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,3,1583,1583,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,4,2140,2140,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,5,4374,4374,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,6,4106,4106,100,1,O,100,0,640,8
0.000107,1777919422.29706,13136,,BSF66F,,f,0,7,0,0,0,0,T,100,0,640,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,0,1739,1739,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,1,3836,3836,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,2,4112,4112,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,3,1806,1806,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,4,2191,2191,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,5,4325,4325,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,6,4151,4151,100,1,O,100,0,671,8
0.089936,1777919422.386889,13137,,BSF66F,,f,0,7,0,0,0,0,T,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,0,1650,1650,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,1,3800,3800,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,2,4161,4161,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,3,1866,1866,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,4,2167,2167,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,5,4361,4361,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,6,4189,4189,100,1,O,100,0,671,8
0.194949,1777919422.491902,13138,,BSF66F,,f,0,7,0,0,0,0,T,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,0,1644,1644,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,1,3830,3830,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,2,4092,4092,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,3,1680,1680,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,4,2198,2198,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,5,4350,4350,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,6,4101,4101,100,1,O,100,0,671,8
0.322556,1777919422.619509,13139,,BSF66F,,f,0,7,2379,2379,11,1,O,100,0,671,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,0,1672,1672,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,1,3800,3800,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,2,4137,4137,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,3,1780,1780,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,4,2150,2150,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,5,4384,4384,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,6,4083,4083,100,1,O,100,0,701,8
0.389913,1777919422.686866,13140,,BSF66F,,f,0,7,0,2379,10,0,T,100,0,701,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,0,1683,1683,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,1,3840,3840,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,2,4156,4156,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,3,1529,1529,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,4,2138,2138,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,5,4430,4430,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,6,4212,4212,100,1,O,100,0,43731,8
0.550472,1777919422.847425,13141,,BSF66F,,f,0,7,0,2379,9,0,T,100,0,43731,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,0,1721,1721,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,1,3819,3819,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,2,4148,4148,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,3,1734,1734,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,4,2222,2222,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,5,4349,4349,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,6,4109,4109,100,1,O,100,0,640,8
0.60007,1777919422.897023,13142,,BSF66F,,f,0,7,0,2379,8,0,T,100,0,640,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,0,1733,1733,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,1,3812,3812,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,2,4101,4101,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,3,1724,1724,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,4,2169,2169,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,5,4353,4353,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,6,4190,4190,100,1,O,100,0,701,8
0.690052,1777919422.987005,13143,,BSF66F,,f,0,7,0,2379,7,0,T,100,0,701,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,0,1633,1633,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,1,3831,3831,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,2,4134,4134,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,3,1583,1583,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,4,2174,2174,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,5,4364,4364,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,6,4110,4110,100,1,O,100,0,671,8
0.79505,1777919423.092003,13144,,BSF66F,,f,0,7,0,2379,7,0,T,100,0,671,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,0,1701,1701,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,1,3824,3824,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,2,4114,4114,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,3,1641,1641,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,4,2160,2160,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,5,4404,4404,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,6,4179,4179,100,1,O,100,0,640,8
0.899969,1777919423.196922,13145,,BSF66F,,f,0,7,0,2379,6,0,T,100,0,640,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,0,1743,1743,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,1,3795,3795,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,2,4146,4146,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,3,1630,1630,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,4,2197,2197,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,5,4333,4333,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,6,4133,4133,100,1,O,100,0,701,8
0.997575,1777919423.294528,13146,,BSF66F,,f,0,7,0,2379,6,0,T,100,0,701,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,0,1693,1693,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,1,3819,3819,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,2,4109,4109,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,3,1652,1652,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,4,2175,2175,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,5,4337,4337,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,6,4127,4127,100,1,O,100,0,640,8
1.095044,1777919423.391997,13147,,BSF66F,,f,0,7,0,2379,5,0,T,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,0,1674,1674,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,1,3824,3824,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,2,4148,4148,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,3,1816,1816,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,4,2182,2182,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,5,4346,4346,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,6,4180,4180,100,1,O,100,0,640,8
1.199942,1777919423.496895,13148,,BSF66F,,f,0,7,0,2379,5,0,T,100,0,640,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,0,1707,1707,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,1,3816,3816,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,2,4126,4126,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,3,1693,1693,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,4,2173,2173,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,5,4305,4305,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,6,4229,4229,100,1,O,100,0,701,8
1.297473,1777919423.594426,13149,,BSF66F,,f,0,7,0,2379,5,0,T,100,0,701,8
