host_elapsed_s,host_epoch_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
69.815,1777922954.695079,12412835,98817,0xdeca,0xb101,0xffff,0xe0,18493,7,1998,119,7178,17
69.915,1777922954.794483,12412934,98818,0xdeca,0xb101,0xffff,0xe0,18122,7,2126,124,7427,17
70.015,1777922954.894578,12413034,98819,0xdeca,0xb101,0xffff,0xe0,19096,7,2098,120,7453,17
70.115,1777922954.994807,12413134,98820,0xdeca,0xb101,0xffff,0xe0,19090,7,2028,118,6184,17
70.215,1777922955.094872,12413234,98821,0xdeca,0xb101,0xffff,0xe0,18271,7,1941,118,6919,17
70.315,1777922955.195057,12413335,98822,0xdeca,0xb101,0xffff,0xe0,20048,7,2390,125,7346,17
70.415,1777922955.295251,12413435,98823,0xdeca,0xb101,0xffff,0xe0,19285,7,2226,123,7113,17
70.515,1777922955.395380,12413535,98824,0xdeca,0xb101,0xffff,0xe0,20408,7,2168,118,7437,17
70.616,1777922955.495523,12413635,98825,0xdeca,0xb101,0xffff,0xe0,21583,7,2532,124,7371,17
70.716,1777922955.595721,12413735,98826,0xdeca,0xb101,0xffff,0xe0,20602,7,2378,123,7643,17
70.811,1777922955.690741,12413830,98827,0xdeca,0xb101,0xffff,0xe0,17685,7,1847,117,6918,17
70.823,1777922955.703182,12413843,98828,0xdeca,0xa107,0xb101,0xe1,14873,7,1580,118,6321,20
70.913,1777922955.793118,12413933,98829,0xdeca,0xb101,0xffff,0xe0,18437,7,1992,119,7187,17
71.013,1777922955.893204,12414033,98830,0xdeca,0xb101,0xffff,0xe0,19094,7,2204,123,7208,17
71.113,1777922955.993372,12414133,98831,0xdeca,0xb101,0xffff,0xe0,18222,7,2002,120,6990,17
71.214,1777922956.093525,12414233,98832,0xdeca,0xb101,0xffff,0xe0,18798,7,2031,119,7164,17
71.314,1777922956.193710,12414333,98833,0xdeca,0xb101,0xffff,0xe0,18914,7,2078,120,7090,17
71.414,1777922956.293827,12414433,98834,0xdeca,0xb101,0xffff,0xe0,19751,7,2317,124,7537,17
71.514,1777922956.394001,12414534,98835,0xdeca,0xb101,0xffff,0xe0,18451,7,1927,117,7203,17
71.614,1777922956.494144,12414634,98836,0xdeca,0xb101,0xffff,0xe0,17970,7,1909,118,6826,17
71.714,1777922956.594273,12414734,98837,0xdeca,0xb101,0xffff,0xe0,19220,7,2147,121,7337,17
71.815,1777922956.694485,12414834,98838,0xdeca,0xb101,0xffff,0xe0,18909,7,2043,119,7389,17
71.914,1777922956.793990,12414934,98839,0xdeca,0xb101,0xffff,0xe0,20506,7,2367,123,7741,17
72.014,1777922956.894125,12415034,98840,0xdeca,0xb101,0xffff,0xe0,21374,7,2548,125,7085,17
72.114,1777922956.994251,12415134,98841,0xdeca,0xb101,0xffff,0xe0,17436,7,1980,122,5862,17
72.214,1777922957.094457,12415234,98842,0xdeca,0xb101,0xffff,0xe0,20255,7,2338,123,7541,17
72.315,1777922957.194579,12415334,98843,0xdeca,0xb101,0xffff,0xe0,17970,7,1909,118,6985,17
72.415,1777922957.294687,12415434,98844,0xdeca,0xb101,0xffff,0xe0,19579,7,2260,123,7192,17
72.515,1777922957.394835,12415535,98845,0xdeca,0xb101,0xffff,0xe0,19910,7,2261,122,7202,17
72.615,1777922957.495071,12415635,98846,0xdeca,0xb101,0xffff,0xe0,18449,7,2095,122,7188,17
72.715,1777922957.595183,12415735,98847,0xdeca,0xb101,0xffff,0xe0,18641,7,2048,120,7496,17
72.815,1777922957.695332,12415835,98848,0xdeca,0xb101,0xffff,0xe0,18791,7,2169,123,6982,17
72.915,1777922957.794785,12415935,98849,0xdeca,0xb101,0xffff,0xe0,19465,7,2103,119,7159,17
73.028,1777922957.908216,12416035,98850,0xdeca,0xb101,0xffff,0xe0,19709,7,2275,123,7349,17
73.113,1777922957.992943,12416133,98851,0xdeca,0xb101,0xffff,0xe0,19150,7,2069,119,7099,17
73.213,1777922958.093084,12416233,98852,0xdeca,0xb101,0xffff,0xe0,17876,7,1867,117,6923,17
73.313,1777922958.193228,12416333,98853,0xdeca,0xb101,0xffff,0xe0,19077,7,2238,124,7214,17
73.413,1777922958.293399,12416433,98854,0xdeca,0xb101,0xffff,0xe0,18660,7,2119,122,7407,17
73.514,1777922958.393634,12416533,98855,0xdeca,0xb101,0xffff,0xe0,19171,7,2249,124,7716,17
73.614,1777922958.493695,12416634,98856,0xdeca,0xb101,0xffff,0xe0,19924,7,2189,120,7187,17
73.714,1777922958.593876,12416734,98857,0xdeca,0xb101,0xffff,0xe0,18177,7,1931,118,7045,17
73.814,1777922958.694087,12416834,98858,0xdeca,0xb101,0xffff,0xe0,21771,7,2554,124,7567,17
73.919,1777922958.798645,12416938,98859,0xdeca,0xb101,0xffff,0xe0,18527,7,1935,117,7157,17
74.014,1777922958.893646,12417033,98860,0xdeca,0xb101,0xffff,0xe0,18479,7,1930,117,6881,17
74.114,1777922958.993861,12417134,98861,0xdeca,0xb101,0xffff,0xe0,19806,7,2176,120,7002,17
74.214,1777922959.094025,12417234,98862,0xdeca,0xb101,0xffff,0xe0,20870,7,2370,122,7802,17
74.314,1777922959.194124,12417334,98863,0xdeca,0xb101,0xffff,0xe0,21328,7,2502,124,7719,17
74.414,1777922959.294302,12417434,98864,0xdeca,0xb101,0xffff,0xe0,20350,7,2349,123,7578,17
74.515,1777922959.394479,12417534,98865,0xdeca,0xb101,0xffff,0xe0,18824,7,1966,117,7004,17
74.615,1777922959.494596,12417634,98866,0xdeca,0xb101,0xffff,0xe0,17842,7,1993,121,6928,17
74.715,1777922959.594782,12417735,98867,0xdeca,0xb101,0xffff,0xe0,18412,7,1923,117,6969,17
74.815,1777922959.695169,12417835,98868,0xdeca,0xb101,0xffff,0xe0,20483,7,2326,122,7300,17
74.920,1777922959.799487,12417939,98869,0xdeca,0xb101,0xffff,0xe0,19371,7,2236,123,7582,17
75.015,1777922959.894506,12418034,98870,0xdeca,0xb101,0xffff,0xe0,19479,7,2212,122,7547,17
75.115,1777922959.994646,12418135,98871,0xdeca,0xb101,0xffff,0xe0,19398,7,2026,117,6889,17
75.215,1777922960.094824,12418235,98872,0xdeca,0xb101,0xffff,0xe0,19224,7,2219,123,6754,17
75.315,1777922960.194981,12418335,98873,0xdeca,0xb101,0xffff,0xe0,20194,7,2331,123,7723,17
75.415,1777922960.295092,12418435,98874,0xdeca,0xb101,0xffff,0xe0,18527,7,1935,117,7078,17
75.515,1777922960.395229,12418535,98875,0xdeca,0xb101,0xffff,0xe0,18864,7,2004,118,7233,17
75.610,1777922960.490235,12418630,98876,0xdeca,0xb101,0xffff,0xe0,18097,7,2123,124,7129,17
75.623,1777922960.502792,12418643,98877,0xdeca,0xa107,0xb101,0xe1,15771,7,1791,122,5558,20
75.713,1777922960.593360,12418733,98878,0xdeca,0xb101,0xffff,0xe0,18704,7,2124,122,7449,17
75.814,1777922960.693513,12418833,98879,0xdeca,0xb101,0xffff,0xe0,17955,7,2039,122,7408,17
75.923,1777922960.803257,12418943,98880,0xdeca,0xb101,0xffff,0xe0,21676,7,2502,123,7358,17
76.013,1777922960.893172,12419033,98881,0xdeca,0xb101,0xffff,0xe0,18465,7,1995,119,7294,17
76.113,1777922960.993306,12419133,98882,0xdeca,0xb101,0xffff,0xe0,18356,7,1950,118,7189,17
76.214,1777922961.093582,12419234,98883,0xdeca,0xb101,0xffff,0xe0,17949,7,1972,120,6905,17
76.314,1777922961.193703,12419334,98884,0xdeca,0xb101,0xffff,0xe0,20991,7,2423,123,7432,17
76.414,1777922961.293829,12419434,98885,0xdeca,0xb101,0xffff,0xe0,19488,7,2213,122,7085,17
76.514,1777922961.394009,12419534,98886,0xdeca,0xb101,0xffff,0xe0,23123,8,2669,123,7546,17
76.614,1777922961.494253,12419634,98887,0xdeca,0xb101,0xffff,0xe0,22093,8,2387,119,7316,17
76.714,1777922961.594337,12419734,98888,0xdeca,0xb101,0xffff,0xe0,20738,7,2355,122,6617,17
