host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
70.920,1777924014.642686,13472856,24489,H,7,0xa107,0xb101,0xe1,15328,7,1684,120,6192,20
71.720,1777924015.442592,13473656,24490,H,7,0xa107,0xb101,0xe1,15564,7,1710,120,5323,20
73.420,1777924017.142256,13475355,24491,H,7,0xa107,0xb101,0xe1,15577,7,1798,123,6406,20
74.320,1777924018.042158,13476255,24492,H,7,0xa107,0xb101,0xe1,15372,7,1633,118,6033,20
75.020,1777924018.742242,13476956,24493,H,7,0xa107,0xb101,0xe1,15620,7,1803,123,6382,20
75.820,1777924019.542047,13477755,24494,H,7,0xa107,0xb101,0xe1,16087,7,1709,118,4477,20
76.720,1777924020.442037,13478656,24495,H,7,0xa107,0xb101,0xe1,15635,7,1633,117,3806,20
78.620,1777924022.342033,13480556,24496,H,7,0xa107,0xb101,0xe1,15109,7,1578,117,6060,20
79.420,1777924023.141900,13481356,24497,H,7,0xa107,0xb101,0xe1,16051,7,1793,121,5317,20
80.145,1777924023.867040,13482081,24498,H,7,0xa107,0xb101,0xe1,16131,7,1862,123,6054,20
102.257,1777924045.979034,13504194,24499,H,7,0xa107,0xb101,0xe1,15233,7,1787,124,6801,20
103.957,1777924047.679147,13505895,24500,H,7,0xa107,0xb101,0xe1,15469,7,1728,121,5953,20
104.757,1777924048.478918,13506694,24501,H,7,0xa107,0xb101,0xe1,15268,7,1622,118,4184,20
105.657,1777924049.379034,13507595,24502,H,7,0xa107,0xb101,0xe1,15770,7,1850,124,4463,20
106.556,1777924050.278792,13508494,24503,H,7,0xa107,0xb101,0xe1,15651,7,1691,119,4682,20
108.456,1777924052.178823,13510395,24504,H,7,0xa107,0xb101,0xe1,15702,7,1754,121,6466,20
109.056,1777924052.778498,13510994,24505,H,7,0xa107,0xb101,0xe1,15679,7,1694,119,5838,20
109.856,1777924053.578486,13511794,24506,H,7,0xa107,0xb101,0xe1,15701,7,1725,120,5795,20
110.756,1777924054.478698,13512695,24507,H,7,0xa107,0xb101,0xe1,15147,7,1777,124,6441,20
112.256,1777924055.978276,13514194,24508,H,7,0xa107,0xb101,0xe1,16139,7,1924,125,6758,20
112.956,1777924056.678358,13514894,24509,H,7,0xa107,0xb101,0xe1,15100,7,1743,123,6459,20
113.856,1777924057.578268,13515794,24510,H,7,0xa107,0xb101,0xe1,15645,7,1662,118,4005,20
114.856,1777924058.578329,13516795,24511,H,7,0xa107,0xb101,0xe1,15040,7,1625,119,6573,20
115.656,1777924059.378095,13517595,24512,H,7,0xa107,0xb101,0xe1,15264,7,1677,120,5405,20
117.456,1777924061.178044,13519395,24513,H,7,0xa107,0xb101,0xe1,15635,7,1661,118,5827,20
118.181,1777924061.903054,13520120,24514,H,7,0xa107,0xb101,0xe1,14901,7,1583,118,4894,20
118.955,1777924062.677798,13520894,24515,H,7,0xa107,0xb101,0xe1,15569,7,1856,125,6851,20
119.855,1777924063.577659,13521794,24516,H,7,0xa107,0xb101,0xe1,16086,7,1738,119,6311,20
121.855,1777924065.577582,13523794,24517,H,7,0xa107,0xb101,0xe1,15152,7,1749,123,6379,20
122.855,1777924066.577689,13524795,24518,H,7,0xa107,0xb101,0xe1,15420,7,1666,119,3971,20
123.755,1777924067.477635,13525695,24519,H,7,0xa107,0xb101,0xe1,14755,7,1541,117,6017,20
124.755,1777924068.477656,13526695,24520,H,7,0xa107,0xb101,0xe1,15300,7,1681,120,4464,20
126.655,1777924070.377334,13528595,24521,H,7,0xa107,0xb101,0xe1,15654,7,1663,118,5593,20
127.555,1777924071.277122,13529494,24522,H,7,0xa107,0xb101,0xe1,14968,7,1672,121,3877,20
128.555,1777924072.277074,13530494,24523,H,7,0xa107,0xb101,0xe1,15550,7,1652,118,6237,20
129.555,1777924073.277171,13531495,24524,H,7,0xa107,0xb101,0xe1,15407,7,1721,121,4881,20
131.455,1777924075.177157,13533395,24525,H,7,0xa107,0xb101,0xe1,14395,7,1608,121,4041,20
132.054,1777924075.776775,13533994,24526,H,7,0xa107,0xb101,0xe1,14882,7,1690,122,4870,20
132.954,1777924076.676692,13534894,24527,H,7,0xa107,0xb101,0xe1,15734,7,1700,119,5095,20
133.954,1777924077.676872,13535895,24528,H,7,0xa107,0xb101,0xe1,15170,7,1751,123,6554,20
