host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,0,3073,3073,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,1,2348,2348,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,2,2749,2749,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,3,3073,3073,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,4,3222,3222,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,5,2381,2381,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,6,2615,2615,100,1,O,100,0,762,8
8.7e-05,1777924911.715294,1293,,BSDC91,,f,0,7,0,3186,20,0,T,100,0,762,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,0,2693,2693,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,1,3409,3409,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,2,2972,2972,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,3,2640,2640,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,4,2705,2705,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,5,3276,3276,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,6,2903,2903,100,1,O,100,0,701,8
0.030191,1777924911.745398,1301,,BS2DCE,,f,0,7,2481,2481,100,1,O,100,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,0,3085,3085,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,1,2429,2429,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,2,2714,2714,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,3,3161,3161,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,4,3115,3115,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,5,2388,2388,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,6,2685,2685,100,1,O,91,0,701,8
0.105041,1777924911.820248,1294,,BSDC91,,f,0,7,3424,3424,33,1,O,91,0,701,8
0.135233,1777924911.85044,1302,,BS2DCE,,f,0,0,2731,2731,100,1,O,100,0,701,8
0.135233,1777924911.85044,1302,,BS2DCE,,f,0,1,3383,3383,100,1,O,100,0,701,8
0.135233,1777924911.85044,1302,,BS2DCE,,f,0,2,2855,2855,100,1,O,100,0,701,8
