host_elapsed_s,host_epoch_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
70.301,1777925221.134359,14679444,109005,0xdeca,0xb101,0xffff,0xe0,20751,7,2318,121,7349,17
70.525,1777925221.358430,14679668,109006,0xdeca,0xb102,0xffff,0xe0,19857,7,2292,123,7294,17
70.626,1777925221.458726,14679768,109007,0xdeca,0xb102,0xffff,0xe0,24795,8,2862,123,7463,17
70.669,1777925221.502195,14679812,109008,0xdeca,0xb101,0xffff,0xe0,20587,7,2187,118,4747,17
70.723,1777925221.556055,14679866,109009,0xdeca,0xb102,0xffff,0xe0,16812,7,1786,118,3347,17
70.771,1777925221.604688,14679914,109010,0xdeca,0xb101,0xffff,0xe0,19946,7,2265,122,5885,17
70.825,1777925221.658559,14679968,109011,0xdeca,0xb102,0xffff,0xe0,19496,7,2142,120,1661,17
70.869,1777925221.702095,14680012,109012,0xdeca,0xb101,0xffff,0xe0,19866,7,2256,122,5913,17
70.923,1777925221.756057,14680066,109013,0xdeca,0xb102,0xffff,0xe0,19705,7,2129,119,5659,17
70.971,1777925221.804692,14680114,109014,0xdeca,0xb101,0xffff,0xe0,17349,7,1938,121,7441,17
71.025,1777925221.858479,14680168,109015,0xdeca,0xb102,0xffff,0xe0,19134,7,2281,125,7541,17
71.069,1777925221.902025,14680212,109016,0xdeca,0xb101,0xffff,0xe0,17000,7,1806,118,6564,17
71.123,1777925221.955940,14680265,109017,0xdeca,0xb102,0xffff,0xe0,22741,8,2711,125,7617,17
71.171,1777925222.004624,14680314,109018,0xdeca,0xb101,0xffff,0xe0,19478,7,2285,124,7738,17
71.235,1777925222.067960,14680378,109019,0xdeca,0xb102,0xffff,0xe0,22556,8,2689,125,7502,17
71.268,1777925222.101130,14680411,109020,0xdeca,0xb101,0xffff,0xe0,20879,7,2410,123,7475,17
71.322,1777925222.154993,14680465,109021,0xdeca,0xb102,0xffff,0xe0,19146,7,2034,118,6976,17
71.334,1777925222.167534,14680477,109022,0xdeca,0xa107,0xb102,0xe1,14520,7,1676,123,4849,20
71.368,1777925222.201477,14680511,109023,0xdeca,0xb101,0xffff,0xe0,18336,7,1915,117,7432,17
71.422,1777925222.255255,14680565,109024,0xdeca,0xb102,0xffff,0xe0,19848,7,2073,117,4571,17
71.471,1777925222.303955,14680614,109025,0xdeca,0xb101,0xffff,0xe0,18780,7,2029,119,6884,17
71.525,1777925222.357746,14680667,109026,0xdeca,0xb102,0xffff,0xe0,22464,8,2551,122,6746,17
71.568,1777925222.401279,14680711,109027,0xdeca,0xb101,0xffff,0xe0,17947,7,1939,119,4390,17
71.622,1777925222.455134,14680765,109028,0xdeca,0xb102,0xffff,0xe0,19168,7,2071,119,2465,17
71.634,1777925222.467571,14680777,109029,0xdeca,0xa107,0xb102,0xe1,13674,6,1002,98,3958,20
71.668,1777925222.501329,14680811,109030,0xdeca,0xb101,0xffff,0xe0,18130,7,1926,118,7330,17
71.722,1777925222.555172,14680865,109031,0xdeca,0xb102,0xffff,0xe0,18911,7,2009,118,5635,17
71.771,1777925222.603891,14680913,109032,0xdeca,0xb101,0xffff,0xe0,18835,7,2035,119,7357,17
71.824,1777925222.657661,14680967,109033,0xdeca,0xb102,0xffff,0xe0,17697,7,1912,119,7375,17
71.868,1777925222.701177,14681011,109034,0xdeca,0xb101,0xffff,0xe0,19255,7,2011,117,7386,17
71.922,1777925222.755122,14681065,109035,0xdeca,0xb102,0xffff,0xe0,18079,7,2053,122,7357,17
71.934,1777925222.767476,14681077,109036,0xdeca,0xa107,0xb102,0xe1,12690,6,651,82,4382,20
71.968,1777925222.801183,14681111,109037,0xdeca,0xb101,0xffff,0xe0,18565,7,1939,117,7191,17
72.022,1777925222.855085,14681165,109038,0xdeca,0xb102,0xffff,0xe0,17947,7,1939,119,6994,17
72.034,1777925222.867517,14681177,109039,0xdeca,0xa107,0xb102,0xe1,11686,6,260,54,2934,20
72.068,1777925222.901208,14681211,109040,0xdeca,0xb101,0xffff,0xe0,21038,7,2468,124,5865,17
72.122,1777925222.955018,14681265,109041,0xdeca,0xb102,0xffff,0xe0,20220,7,2372,124,7202,17
72.134,1777925222.967437,14681277,109042,0xdeca,0xa107,0xb102,0xe1,13285,6,821,90,4272,20
72.168,1777925223.001164,14681311,109043,0xdeca,0xb101,0xffff,0xe0,20212,7,2111,117,7118,17
72.237,1777925223.069726,14681379,109044,0xdeca,0xb102,0xffff,0xe0,20333,7,2347,123,5054,17
