host_elapsed_s,host_epoch_s,ver,accepted_polls,acc_len
59.993974,1784055098.276310,1,141570,4064
60.660585,1784055098.942921,1,141580,4064
61.394252,1784055099.676588,1,141590,4064
62.060119,1784055100.342456,1,141600,4064
62.760412,1784055101.042748,1,141610,4064
63.493960,1784055101.776296,1,141620,4064
64.260129,1784055102.542465,1,141630,4064
65.060648,1784055103.342984,1,141640,4064
65.793991,1784055104.076327,1,141650,4064
66.525775,1784055104.808111,1,141660,4064
67.160283,1784055105.442619,1,141670,4064
67.859937,1784055106.142273,1,141680,4064
68.493261,1784055106.775597,1,141690,4064
69.225991,1784055107.508327,1,141700,4064
69.925878,1784055108.208215,1,141710,4064
70.593822,1784055108.876158,1,141720,4064
71.325741,1784055109.608077,1,141730,4064
71.959623,1784055110.241960,1,141740,4064
72.659478,1784055110.941814,1,141750,4064
73.425404,1784055111.707740,1,141760,4064
132.327478,1784055170.609815,1,141770,4064
133.027592,1784055171.309929,1,141780,4064
133.745021,1784055172.027357,1,141790,4064
134.527612,1784055172.809949,1,141800,4064
135.170840,1784055173.453176,1,141810,4064
135.844966,1784055174.127303,1,141820,4064
136.670391,1784055174.952727,1,141830,4064
137.427648,1784055175.709984,1,141840,4064
138.170408,1784055176.452744,1,141850,4064
138.844078,1784055177.126414,1,141860,4064
139.470827,1784055177.753164,1,141870,4064
140.170135,1784055178.452472,1,141880,4064
140.927741,1784055179.210078,1,141890,4064
141.744031,1784055180.026368,1,141900,4064
142.370239,1784055180.652575,1,141910,4064
143.044289,1784055181.326625,1,141920,4064
143.827327,1784055182.109664,1,141930,4064
144.570403,1784055182.852739,1,141940,4064
145.343989,1784055183.626326,1,141950,4064
146.026691,1784055184.309027,1,141960,4064
202.969709,1784055241.252045,1,141970,4064
203.644380,1784055241.926716,1,141980,4064
204.345074,1784055242.627411,1,141990,4064
205.170021,1784055243.452357,1,142000,4064
205.869318,1784055244.151654,1,142010,4064
206.497627,1784055244.779963,1,142020,4064
207.297727,1784055245.580063,1,142030,4064
207.969669,1784055246.252005,1,142040,4064
208.698209,1784055246.980545,1,142050,4064
209.369437,1784055247.651773,1,142060,4064
210.069062,1784055248.351398,1,142070,4064
210.743914,1784055249.026250,1,142080,4064
211.469430,1784055249.751766,1,142090,4064
212.269858,1784055250.552195,1,142100,4064
213.043617,1784055251.325954,1,142110,4064
213.697907,1784055251.980243,1,142120,4064
214.368883,1784055252.651219,1,142130,4064
215.097047,1784055253.379383,1,142140,4064
215.842726,1784055254.125062,1,142150,4064
216.543172,1784055254.825509,1,142160,4064
217.342855,1784055255.625192,1,142170,4064
276.064648,1784055314.346985,1,142180,4064
276.747264,1784055315.029601,1,142190,4064
277.447742,1784055315.730078,1,142200,4064
278.247507,1784055316.529843,1,142210,4064
278.963955,1784055317.246292,1,142220,4064
279.763687,1784055318.046024,1,142230,4064
280.390420,1784055318.672756,1,142240,4064
281.064060,1784055319.346396,1,142250,4064
281.764513,1784055320.046850,1,142260,4064
282.464179,1784055320.746515,1,142270,4064
283.190759,1784055321.473095,1,142280,4064
283.890451,1784055322.172788,1,142290,4064
284.564282,1784055322.846618,1,142300,4064
285.247003,1784055323.529339,1,142310,4064
285.947158,1784055324.229494,1,142320,4064
286.589973,1784055324.872309,1,142330,4064
287.262871,1784055325.545207,1,142340,4064
287.947113,1784055326.229449,1,142350,4064
288.589723,1784055326.872060,1,142360,4064
289.290217,1784055327.572553,1,142370,4064
