host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,good_frames,accepted_polls,ignored_nonpoll,ignored_poll_mask,bad_header,too_long,rx_errors,cir_captures,last_status,last_src,last_dst,last_code,ring_drops,self_recover,rx_enable_failures,fps
1.298789,1784055039.581125,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,755,0,0
6.298435,1784055044.580771,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,755,0,0
11.298129,1784055049.580465,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,755,0,0
16.297840,1784055054.580176,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,756,0,0
21.297500,1784055059.579836,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,756,0,0
26.297254,1784055064.579590,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,756,0,0
31.296835,1784055069.579172,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,757,0,0
36.296530,1784055074.578866,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,757,0,0
41.296258,1784055079.578594,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,757,0,0
46.295877,1784055084.578214,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,758,0,0
51.295557,1784055089.577893,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,758,0,0
56.295330,1784055094.577666,1,255,255,331125,141566,189558,0,1,0,1899,14156,0x00800002,0xa106,0xb102,0xe1,0,758,0,0
61.407740,1784055099.690076,1,255,255,331194,141590,189603,0,1,0,1899,14159,0x00806f02,0xa105,0xb102,0xe1,0,758,0,13
66.539459,1784055104.821795,1,255,255,331396,141660,189735,0,1,0,1899,14166,0x00806f02,0xa105,0xb103,0xe1,0,758,0,40
71.539804,1784055109.822141,1,255,255,331616,141736,189879,0,1,0,1899,14173,0x00806f02,0xa106,0xb103,0xe1,0,758,0,44
76.534094,1784055114.816431,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,758,0,19
81.534726,1784055119.817062,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,758,0,0
86.533363,1784055124.815699,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,758,0,0
91.533135,1784055129.815471,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,759,0,0
96.532683,1784055134.815019,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,759,0,0
101.532398,1784055139.814734,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,759,0,0
106.532023,1784055144.814360,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,760,0,0
111.531722,1784055149.814058,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,760,0,0
116.531327,1784055154.813663,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,760,0,0
121.531057,1784055159.813394,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,761,0,0
126.530752,1784055164.813088,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,761,0,0
131.530373,1784055169.812709,1,255,255,331712,141769,189942,0,1,0,1899,14176,0x00800002,0xa106,0xb104,0xe1,0,761,0,0
136.684039,1784055174.966375,1,255,255,331887,141830,190056,0,1,0,1899,14183,0x00806f02,0xa105,0xb104,0xe1,0,761,0,35
141.757527,1784055180.039863,1,255,255,332088,141900,190187,0,1,0,1899,14190,0x00806f02,0xa106,0xb103,0xe1,0,761,0,40
146.751419,1784055185.033755,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,761,0,39
151.751128,1784055190.033464,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,761,0,0
156.750850,1784055195.033186,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,761,0,0
161.750339,1784055200.032675,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,762,0,0
166.750121,1784055205.032457,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,762,0,0
171.749706,1784055210.032042,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,762,0,0
176.749389,1784055215.031726,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,763,0,0
181.749042,1784055220.031379,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,763,0,0
186.748796,1784055225.031132,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,763,0,0
191.748439,1784055230.030775,1,255,255,332283,141967,190315,0,1,0,1899,14196,0x00800002,0xa106,0xb104,0xe1,0,764,0,0
196.748154,1784055235.030491,1,255,255,332283,141967,190315,0,1,0,1900,14196,0x00800002,0xa106,0xb104,0xe1,0,764,0,0
201.747994,1784055240.030330,1,255,255,332283,141967,190315,0,1,0,1900,14196,0x00800002,0xa106,0xb104,0xe1,0,764,0,0
206.752919,1784055245.035255,1,255,255,332444,142023,190420,0,1,0,1900,14202,0x00806f02,0xa101,0xb103,0xe1,0,764,0,32
211.757018,1784055250.039355,1,255,255,332652,142095,190556,0,1,0,1900,14209,0x00806f02,0xa106,0xb103,0xe1,0,764,0,41
216.751092,1784055255.033428,1,255,255,332841,142161,190679,0,1,0,1900,14216,0x00800002,0xa106,0xb102,0xe1,0,764,0,37
221.750595,1784055260.032931,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,764,0,5
226.750722,1784055265.033058,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,764,0,0
231.751967,1784055270.034304,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,764,0,0
236.749576,1784055275.031912,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,765,0,0
241.749167,1784055280.031503,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,765,0,0
246.748838,1784055285.031175,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,765,0,0
251.748451,1784055290.030787,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,766,0,0
256.748194,1784055295.030530,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,766,0,0
261.747759,1784055300.030096,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,766,0,0
266.747492,1784055305.029829,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,767,0,0
271.747128,1784055310.029464,1,255,255,332866,142170,190695,0,1,0,1900,14217,0x00800002,0xb103,0xffff,0xe0,0,767,0,0
276.760954,1784055315.043290,1,255,255,332924,142190,190733,0,1,0,1900,14219,0x00806f02,0xa106,0xb102,0xe1,0,767,0,11
281.778120,1784055320.060456,1,255,255,333126,142260,190865,0,1,0,1900,14226,0x00806f02,0xa106,0xb103,0xe1,0,767,0,40
286.772194,1784055325.054530,1,255,255,333344,142334,191009,0,1,0,1901,14233,0x00800002,0xa106,0xb102,0xe1,0,767,0,43
291.771946,1784055330.054282,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,767,0,26
296.771615,1784055335.053951,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,767,0,0
301.771273,1784055340.053609,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,767,0,0
306.770834,1784055345.053170,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,768,0,0
311.770501,1784055350.052837,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,768,0,0
316.770177,1784055355.052513,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,768,0,0
321.769836,1784055360.052172,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,769,0,0
326.769478,1784055365.051814,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,769,0,0
331.769163,1784055370.051499,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,769,0,0
336.769109,1784055375.051445,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
341.768513,1784055380.050849,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
346.768246,1784055385.050582,1,255,255,333475,142379,191095,0,1,0,1901,14237,0x00800002,0xa106,0xb103,0xe1,0,770,0,0
