listener,src,n,fp_tap_med,fp_amp,dp_snr,subtap_tighten_ratio,cfo_ppm_med,t_span_h,status
L9336,0xb136,16114,750,11.621,23.6,1.041,-0.661,10.18,ok
L9336,0xb15a,17081,748,10.169,14.6,1.448,-1.352,10.18,ok
L9336,0xb1f4,16209,748,10.88,23.4,1.959,-2.463,10.18,ok
L955A,0xb136,16324,748,15.601,35.0,1.149,-1.111,10.18,ok
L955A,0xb15a,17022,748,9.478,18.2,1.881,-1.562,10.18,ok
L955A,0xb1f4,16448,748,8.355,23.1,2.526,-2.884,10.18,ok
LB,0xb136,16432,748,9.596,23.7,1.864,-0.991,10.18,ok
LB,0xb15a,17107,748,13.72,37.7,1.333,-5.527,10.18,ok
LB,0xb1f4,16189,748,15.299,40.7,0.851,-5.617,10.18,ok
LE,0xb136,16277,748,15.515,37.1,1.145,0.721,10.18,ok
LE,0xb15a,17000,748,7.391,13.8,1.298,-2.703,10.18,ok
LE,0xb1f4,16405,748,11.337,24.8,1.606,-3.574,10.18,ok
LF,0xb136,16105,748,8.506,18.8,1.312,1.292,10.18,ok
LF,0xb15a,17036,748,8.086,16.2,1.75,-0.991,10.18,ok
LF,0xb1f4,16203,748,7.978,15.2,2.104,-2.974,10.18,ok
